ID;Persoonskenmerken;VormenVanJeugdzorg;RegioS;Perioden;TotaalJongerenMetJeugdzorg_1
0;10000;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2021;397725.0
1;10000;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2021;395430.0
2;10000;JZ Totaal jeugdzorg;Nederland;2021;469705.0
3;10000;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2022;401995.0
4;10000;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2022;406290.0
5;10000;JZ Totaal jeugdzorg;Nederland;2022;476560.0
6;10000;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2023;415890.0
7;10000;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2023;414290.0
8;10000;JZ Totaal jeugdzorg;Nederland;2023;489895.0
9;10000;JZ Totaal jeugdzorg;Nederland;1e half jaar 2024;403180.0
10;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2021;41200.0
11;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2021;40780.0
12;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);2021;47985.0
13;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2022;40970.0
14;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2022;41065.0
15;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);2022;47705.0
16;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2023;41740.0
17;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2023;40765.0
18;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);2023;48405.0
19;10000;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e half jaar 2024;40440.0
20;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2021;86140.0
21;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2021;86100.0
22;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);2021;101235.0
23;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2022;85955.0
24;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2022;86380.0
25;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);2022;101355.0
26;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2023;89550.0
27;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2023;90205.0
28;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);2023;105350.0
29;10000;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e half jaar 2024;88420.0
30;10000;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2021;189300.0
31;10000;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2021;187890.0
32;10000;JZ Totaal jeugdzorg;West-Nederland (LD);2021;224945.0
33;10000;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2022;194610.0
34;10000;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2022;197200.0
35;10000;JZ Totaal jeugdzorg;West-Nederland (LD);2022;231560.0
36;10000;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2023;201300.0
37;10000;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2023;199375.0
38;10000;JZ Totaal jeugdzorg;West-Nederland (LD);2023;237070.0
39;10000;JZ Totaal jeugdzorg;West-Nederland (LD);1e half jaar 2024;191190.0
40;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2021;81080.0
41;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2021;80660.0
42;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2021;95540.0
43;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2022;80465.0
44;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2022;81645.0
45;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2022;95935.0
46;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2023;83300.0
47;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2023;83945.0
48;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2023;99070.0
49;10000;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e half jaar 2024;83130.0
50;10000;JZ Totaal jeugdzorg;Groningen (PV);1e halfjaar 2021;13860.0
51;10000;JZ Totaal jeugdzorg;Groningen (PV);2e halfjaar 2021;13780.0
52;10000;JZ Totaal jeugdzorg;Groningen (PV);2021;16045.0
53;10000;JZ Totaal jeugdzorg;Groningen (PV);1e halfjaar 2022;14010.0
54;10000;JZ Totaal jeugdzorg;Groningen (PV);2e halfjaar 2022;13990.0
