ID;Geslacht;TypeZelfstandige;ArbeidsmarktpositiePeiljaar;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Peiljaar;Perioden;StartendeZelfstandigen_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2008;262.3
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2009;241.6
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2010;220.8
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2011;215.5
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2012;205.6
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2013;215.3
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2014;217.9
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;1 jaar na startjaar;2015;226.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2008;262.3
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2009;241.6
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2010;220.8
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2011;215.5
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2012;205.6
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2013;215.3
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2014;217.9
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;2 jaar na startjaar;2015;
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2008;262.3
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2009;241.6
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2010;220.8
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2011;215.5
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2012;205.6
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2013;215.3
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2014;
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;3 jaar na startjaar;2015;
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2008;262.3
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2009;241.6
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2010;220.8
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2011;215.5
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2012;205.6
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2013;
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2014;
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;4 jaar na startjaar;2015;
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2008;262.3
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2009;241.6
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2010;220.8
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2011;215.5
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2012;
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2013;
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2014;
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A-U Alle economische activiteiten;5 jaar na startjaar;2015;
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2008;3.5
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2009;3.6
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2010;3.5
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2011;5.1
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2012;3.5
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2013;3.7
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2014;3.7
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;1 jaar na startjaar;2015;4.3
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2008;3.5
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2009;3.6
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2010;3.5
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2011;5.1
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2012;3.5
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2013;3.7
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2014;3.7
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2 jaar na startjaar;2015;
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2008;3.5
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2009;3.6
58;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2010;3.5
59;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2011;5.1
60;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2012;3.5
61;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2013;3.7
62;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2014;
63;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;3 jaar na startjaar;2015;
64;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2008;3.5
65;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2009;3.6
66;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2010;3.5
67;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2011;5.1
68;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2012;3.5
69;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2013;
70;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2014;
71;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;4 jaar na startjaar;2015;
72;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2008;3.5
73;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2009;3.6
74;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2010;3.5
75;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2011;5.1
76;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2012;
77;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2013;
78;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2014;
79;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;5 jaar na startjaar;2015;
80;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2008;0.0
81;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2009;0.0
82;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2010;0.0
83;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2011;0.0
84;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2012;0.0
85;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2013;0.0
86;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2014;0.0
87;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;1 jaar na startjaar;2015;0.0
88;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2008;0.0
89;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2009;0.0
90;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2010;0.0
91;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2011;0.0
92;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2012;0.0
93;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2013;0.0
94;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2014;0.0
95;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;2 jaar na startjaar;2015;
96;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2008;0.0
97;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2009;0.0
98;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2010;0.0
99;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2011;0.0
100;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2012;0.0
101;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2013;0.0
102;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2014;
103;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;3 jaar na startjaar;2015;
104;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2008;0.0
105;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2009;0.0
106;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2010;0.0
107;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2011;0.0
108;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2012;0.0
109;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2013;
110;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2014;
