ID;Geslacht;Opleidingsclusters;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na3Jaar_23;Na4Jaar_24;Na5Jaar_25;Na6Jaar_26;Na7Jaar_27;Na8Jaar_28;Na9Jaar_29;Na3Jaar_30;Na4Jaar_31;Na5Jaar_32;Na6Jaar_33;Na7Jaar_34;Na8Jaar_35;Na9Jaar_36;Na1Jaar_37;Na2Jaar_38;Na3Jaar_39;Na4Jaar_40;Na5Jaar_41;Na6Jaar_42;Na7Jaar_43;Na8Jaar_44;InJaar2_45;InJaar3_46;InJaar4_47;InJaar5_48;InJaar6_49;InJaar7_50;InJaar8_51;InJaar9_52;InJaar2_53;InJaar3_54;InJaar4_55;InJaar5_56;InJaar6_57;InJaar7_58;InJaar8_59;InJaar9_60;InJaar2_61;InJaar3_62;InJaar4_63;InJaar5_64;InJaar6_65;InJaar7_66;InJaar8_67;InJaar9_68;InJaar2_69;InJaar3_70;InJaar4_71;InJaar5_72;InJaar6_73;InJaar7_74;InJaar8_75;InJaar9_76;InJaar2_77;InJaar3_78;InJaar4_79;InJaar5_80;InJaar6_81;InJaar7_82;InJaar8_83;InJaar9_84
0;Totaal mannen en vrouwen;0;Cohort 1995;1750.0;11.0;18.0;25.0;31.0;36.0;39.0;42.0;6.0;13.0;20.0;26.0;30.0;33.0;36.0;6.0;13.0;20.0;25.0;30.0;33.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0;5.0;5.0;6.0;6.0;26.0;37.0;43.0;46.0;48.0;50.0;50.0;50.0;70.0;56.0;47.0;36.0;27.0;19.0;14.0;11.0;67.0;54.0;45.0;34.0;25.0;17.0;12.0;9.0;67.0;53.0;44.0;33.0;25.0;17.0;12.0;9.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0
1;Totaal mannen en vrouwen;0;Cohort 1996;1770.0;10.0;16.0;25.0;31.0;36.0;40.0;42.0;5.0;11.0;19.0;26.0;31.0;34.0;37.0;5.0;11.0;19.0;25.0;30.0;34.0;36.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;27.0;38.0;44.0;46.0;48.0;49.0;51.0;51.0;70.0;56.0;46.0;38.0;27.0;20.0;13.0;9.0;66.0;53.0;44.0;36.0;26.0;18.0;12.0;8.0;66.0;53.0;44.0;36.0;25.0;18.0;11.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0
2;Totaal mannen en vrouwen;0;Cohort 1997;1790.0;10.0;17.0;24.0;31.0;36.0;40.0;43.0;5.0;11.0;18.0;25.0;29.0;33.0;36.0;5.0;11.0;18.0;25.0;28.0;32.0;35.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;5.0;6.0;6.0;6.0;7.0;7.0;7.0;29.0;39.0;44.0;47.0;48.0;49.0;49.0;51.0;69.0;56.0;47.0;36.0;27.0;20.0;15.0;10.0;66.0;53.0;44.0;34.0;25.0;18.0;13.0;9.0;65.0;52.0;43.0;33.0;25.0;17.0;13.0;8.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3.0;4.0;3.0;2.0;2.0;2.0;2.0;1.0
3;Totaal mannen en vrouwen;0;Cohort 1998;2000.0;9.0;16.0;25.0;32.0;38.0;41.0;;5.0;12.0;20.0;27.0;32.0;35.0;;5.0;12.0;20.0;27.0;32.0;35.0;;0.0;0.0;0.0;0.0;0.0;1.0;;4.0;5.0;5.0;5.0;5.0;6.0;;29.0;39.0;42.0;45.0;46.0;48.0;48.0;49.0;69.0;58.0;49.0;38.0;29.0;20.0;14.0;10.0;66.0;55.0;46.0;36.0;27.0;18.0;12.0;8.0;66.0;54.0;45.0;35.0;26.0;18.0;12.0;8.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0
4;Totaal mannen en vrouwen;0;Cohort 1999;2190.0;9.0;17.0;25.0;31.0;36.0;;;5.0;12.0;19.0;25.0;30.0;;;5.0;12.0;19.0;25.0;30.0;;;0.0;0.0;0.0;1.0;1.0;;;5.0;5.0;6.0;6.0;6.0;;;32.0;41.0;46.0;49.0;51.0;51.0;53.0;;66.0;54.0;45.0;34.0;25.0;18.0;11.0;;63.0;51.0;42.0;31.0;23.0;16.0;10.0;;62.0;50.0;41.0;31.0;22.0;15.0;9.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;3.0;3.0;3.0;3.0;2.0;2.0;2.0;
5;Totaal mannen en vrouwen;0;Cohort 2000;2160.0;10.0;19.0;27.0;35.0;;;;5.0;14.0;21.0;29.0;;;;5.0;14.0;21.0;29.0;;;;0.0;0.0;0.0;0.0;;;;5.0;5.0;6.0;6.0;;;;28.0;38.0;42.0;45.0;46.0;47.0;;;69.0;57.0;48.0;36.0;27.0;18.0;;;66.0;54.0;46.0;34.0;25.0;16.0;;;65.0;54.0;46.0;34.0;25.0;16.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;;3.0;3.0;2.0;2.0;2.0;2.0;;
6;Totaal mannen en vrouwen;0;Cohort 2001;2040.0;9.0;17.0;26.0;;;;;5.0;12.0;21.0;;;;;5.0;12.0;21.0;;;;;0.0;0.0;0.0;;;;;4.0;4.0;5.0;;;;;32.0;42.0;47.0;49.0;51.0;;;;66.0;54.0;45.0;34.0;22.0;;;;64.0;51.0;43.0;32.0;21.0;;;;63.0;51.0;42.0;31.0;20.0;;;;0.0;1.0;1.0;1.0;0.0;;;;3.0;3.0;2.0;2.0;2.0;;;
7;Totaal mannen en vrouwen;0;Cohort 2002;2070.0;11.0;24.0;;;;;;7.0;19.0;;;;;;7.0;19.0;;;;;;0.0;0.0;;;;;;4.0;5.0;;;;;;29.0;37.0;42.0;46.0;;;;;68.0;57.0;46.0;30.0;;;;;65.0;54.0;44.0;27.0;;;;;64.0;53.0;43.0;27.0;;;;;1.0;1.0;1.0;1.0;;;;;3.0;3.0;3.0;2.0;;;;
8;Totaal mannen en vrouwen;0;Cohort 2003;1760.0;17.0;;;;;;;13.0;;;;;;;13.0;;;;;;;0.0;;;;;;;4.0;;;;;;;28.0;37.0;43.0;;;;;;69.0;56.0;40.0;;;;;;66.0;53.0;37.0;;;;;;65.0;52.0;36.0;;;;;;0.0;1.0;1.0;;;;;;3.0;3.0;3.0;;;;;
9;Totaal mannen en vrouwen;0;Cohort 2004;1370.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.0;40.0;;;;;;;67.0;52.0;;;;;;;64.0;48.0;;;;;;;63.0;48.0;;;;;;;1.0;1.0;;;;;;;4.0;4.0;;;;;;
