ID;Achtergrondkenmerken;Perioden;TotaalPersonen50Tot75Jaar_1;ParticiperendOpDeArbeidsmarkt_2;GestoptMetWerken_3;NooitGewerkt_4;VUTPrePensioen_5;GeenVUTPrePensioen_6;k_65Tot75Jarigen_7
0;1;2006;4384.0;1944.0;1335.0;1106.0;414.0;2701.0;1269.0
1;1;2007;4464.0;2037.0;1338.0;1089.0;434.0;2742.0;1288.0
2;1;2008;4548.0;2146.0;1342.0;1060.0;422.0;2809.0;1317.0
3;1;2009;4638.0;2224.0;1349.0;1065.0;397.0;2882.0;1359.0
4;2;2006;2172.0;1210.0;799.0;163.0;286.0;1281.0;605.0
5;2;2007;2213.0;1253.0;787.0;173.0;282.0;1314.0;617.0
6;2;2008;2256.0;1314.0;783.0;159.0;276.0;1346.0;634.0
7;2;2009;2302.0;1342.0;791.0;169.0;259.0;1386.0;657.0
8;3;2006;2212.0;734.0;535.0;943.0;128.0;1420.0;664.0
9;3;2007;2251.0;784.0;551.0;916.0;152.0;1428.0;671.0
10;3;2008;2292.0;832.0;559.0;901.0;146.0;1463.0;683.0
11;3;2009;2336.0;882.0;558.0;896.0;138.0;1496.0;702.0
12;4;2006;1119.0;894.0;53.0;172.0;13.0;1105.0;
13;4;2007;1129.0;920.0;48.0;161.0;14.0;1114.0;
14;4;2008;1142.0;941.0;50.0;151.0;16.0;1126.0;
15;4;2009;1159.0;963.0;44.0;152.0;11.0;1148.0;
16;5;2006;1122.0;715.0;179.0;228.0;91.0;1031.0;
17;5;2007;1093.0;731.0;147.0;215.0;74.0;1019.0;
18;5;2008;1077.0;744.0;129.0;204.0;60.0;1017.0;
19;5;2009;1073.0;768.0;114.0;191.0;47.0;1026.0;
20;6;2006;876.0;238.0;389.0;249.0;311.0;565.0;
21;6;2007;954.0;295.0;410.0;249.0;346.0;608.0;
22;6;2008;1011.0;345.0;413.0;253.0;346.0;666.0;
23;6;2009;1048.0;378.0;404.0;266.0;339.0;708.0;
24;7;2006;696.0;67.0;390.0;239.0;;;696.0
25;7;2007;710.0;64.0;410.0;236.0;;;710.0
26;7;2008;731.0;91.0;412.0;228.0;;;731.0
27;7;2009;755.0;83.0;444.0;228.0;;;755.0
28;8;2006;572.0;30.0;324.0;218.0;;;572.0
29;8;2007;578.0;27.0;323.0;228.0;;;578.0
30;8;2008;587.0;25.0;338.0;224.0;;;587.0
31;8;2009;602.0;33.0;342.0;227.0;;;602.0
32;9;2006;1896.0;580.0;576.0;740.0;132.0;1083.0;681.0
33;9;2007;1839.0;573.0;553.0;713.0;127.0;1034.0;678.0
34;9;2008;1904.0;629.0;566.0;709.0;136.0;1095.0;673.0
35;9;2009;1874.0;632.0;548.0;694.0;112.0;1082.0;680.0
36;Onderwijsniveau: middelbaar;2006;1504.0;762.0;472.0;270.0;158.0;969.0;377.0
37;Onderwijsniveau: middelbaar;2007;1557.0;797.0;483.0;277.0;169.0;1007.0;381.0
38;Onderwijsniveau: middelbaar;2008;1559.0;821.0;476.0;262.0;165.0;993.0;401.0
39;Onderwijsniveau: middelbaar;2009;1624.0;871.0;482.0;271.0;163.0;1041.0;420.0
40;Onderwijsniveau: hoog;2006;955.0;590.0;279.0;88.0;122.0;628.0;205.0
41;Onderwijsniveau: hoog;2007;1038.0;653.0;294.0;91.0;137.0;680.0;221.0
42;Onderwijsniveau: hoog;2008;1075.0;692.0;296.0;87.0;120.0;714.0;241.0
43;Onderwijsniveau: hoog;2009;1128.0;714.0;316.0;98.0;121.0;748.0;259.0
44;Onderwijsniveau: onbekend;2006;29.0;11.0;8.0;10.0;2.0;21.0;6.0
45;Onderwijsniveau: onbekend;2007;29.0;13.0;7.0;9.0;;20.0;8.0
46;Onderwijsniveau: onbekend;2008;;;;;;;
47;Onderwijsniveau: onbekend;2009;;;;;;;
48;Eenpersoonshuishouden;2006;852.0;302.0;280.0;270.0;83.0;423.0;346.0
49;Eenpersoonshuishouden;2007;879.0;329.0;283.0;267.0;90.0;436.0;353.0
50;Eenpersoonshuishouden;2008;848.0;328.0;264.0;256.0;73.0;442.0;333.0
51;Eenpersoonshuishouden;2009;893.0;354.0;281.0;258.0;80.0;462.0;351.0
52;Alleenstaande ouder;2006;122.0;76.0;14.0;32.0;8.0;100.0;14.0
53;Alleenstaande ouder;2007;130.0;81.0;15.0;34.0;7.0;106.0;17.0
54;Alleenstaande ouder;2008;133.0;86.0;14.0;33.0;11.0;106.0;16.0
55;Alleenstaande ouder;2009;138.0;92.0;15.0;31.0;9.0;115.0;14.0
56;Lid van ouderpaar;2006;906.0;659.0;105.0;142.0;39.0;815.0;52.0
57;Lid van ouderpaar;2007;942.0;701.0;102.0;139.0;42.0;855.0;45.0
58;Lid van ouderpaar;2008;959.0;735.0;98.0;126.0;40.0;870.0;49.0
59;Lid van ouderpaar;2009;975.0;752.0;91.0;132.0;29.0;896.0;50.0
60;Lid van een paar (geen ouder);2006;2462.0;886.0;926.0;650.0;280.0;1337.0;845.0
61;Lid van een paar (geen ouder);2007;2468.0;905.0;928.0;635.0;293.0;1315.0;860.0
62;Lid van een paar (geen ouder);2008;2559.0;977.0;951.0;631.0;294.0;1361.0;904.0
63;Lid van een paar (geen ouder);2009;2585.0;1007.0;949.0;629.0;274.0;1379.0;932.0
64;Overig lid huishouden;2006;42.0;20.0;10.0;12.0;4.0;27.0;11.0
65;Overig lid huishouden;2007;45.0;21.0;11.0;13.0;2.0;29.0;14.0
66;Overig lid huishouden;2008;49.0;20.0;15.0;14.0;3.0;30.0;16.0
67;Overig lid huishouden;2009;48.0;20.0;12.0;16.0;4.0;30.0;14.0
68;Autochtonen;2006;3765.0;1643.0;1170.0;952.0;363.0;2279.0;1123.0
69;Autochtonen;2007;3809.0;1723.0;1185.0;901.0;383.0;2293.0;1133.0
70;Autochtonen;2008;3893.0;1816.0;1181.0;896.0;375.0;2365.0;1153.0
71;Autochtonen;2009;3940.0;1879.0;1177.0;884.0;351.0;2404.0;1185.0
72;Westerse allochtonen;2006;439.0;210.0;134.0;95.0;40.0;281.0;118.0
