ID;Regions;Periods;TotalSurface_1;TransportTotal_2;Railroad_3;MainRoad_4;Airport_5;BuiltUpAreaTotal_6;Residential_7;IndustryBusinessPublicInstitutions_8;SocioCulturalFacilities_9;SemiBuiltUpAreaTotal_10;MiningArea_11;BuildingSite_12;OtherSemiBuiltUpArea_13;RecreationTotal_14;ParkAndPublicGarden_15;SportGrounds_16;OtherRecreationUsage_17;AgricultureTotal_18;Greenhouses_19;OtherAgriculturalUsage_20;WoodlandAndNatureTotal_21;Woodland_22;NaturalOpenArea_23;WaterTotal_24;InlandWaterTotal_25;TidalWaterTotal_26
0;The Netherlands;1900;32550.0;;;;;;;;;;;;;;;;;;;21160.0;8760.0;2520.0;6240.0;910.0;;
1;The Netherlands;1905;32570.0;;;;;;;;;;;;;;;;;;;21270.0;8410.0;2570.0;5840.0;900.0;;
2;The Netherlands;1906;32570.0;;;;;;;;;;;;;;;;;;;;8360.0;2570.0;5790.0;890.0;;
3;The Netherlands;1907;32570.0;;;;;;;;;;;;;;;;;;;;8320.0;2580.0;5740.0;890.0;;
4;The Netherlands;1908;;;;;;;;;;;;;;;;;;;;;;;;;;
5;The Netherlands;1909;32600.0;;;;;;;;;;;;;;;;;;;;8190.0;2600.0;5590.0;900.0;;
6;The Netherlands;1910;32610.0;;;;;;;;;;;;;;;;;;;21540.0;8130.0;2600.0;5530.0;900.0;;
7;The Netherlands;1911;32610.0;;;;;;;;;;;;;;;;;;;;8050.0;2610.0;5440.0;900.0;;
8;The Netherlands;1912;32620.0;;;;;;;;;;;;;;;;;;;;7950.0;2600.0;5350.0;900.0;;
9;The Netherlands;1913;32620.0;;;;;;;;;;;;;;;;;;;;7830.0;2580.0;5250.0;910.0;;
10;The Netherlands;1914;32620.0;;;;;;;;;;;;;;;;;;;;7750.0;2570.0;5180.0;920.0;;
11;The Netherlands;1915;32620.0;;;;;;;;;;;;;;;;;;;22010.0;7680.0;2570.0;5110.0;910.0;;
12;The Netherlands;1916;32620.0;;;;;;;;;;;;;;;;;;;;7620.0;2570.0;5050.0;900.0;;
13;The Netherlands;1917;32620.0;;;;;;;;;;;;;;;;;;;;7590.0;2540.0;5050.0;910.0;;
14;The Netherlands;1918;32630.0;;;;;;;;;;;;;;;;;;;;7560.0;2520.0;5040.0;920.0;;
15;The Netherlands;1919;32640.0;;;;;;;;;;;;;;;;;;;;7480.0;2490.0;4990.0;920.0;;
