ID;Inkomensbegrippen;Inkomensklassen;Populatie;Geslacht;OverigeKenmerken;Perioden;PersonenInParticuliereHuishoudens_1;Inkomenssom_2
0;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2000;11622.261887;227526.357301
1;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2001;11733.622394;243963.637671
2;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2002;11835.017527;255508.645642
3;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2003;11852.077597;260835.955594
4;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2004;11897.342996;269659.808304
5;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2005;11993.090281;278300.67311
6;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2006;12090.159674;291924.615305
7;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2007;12245.510409;305448.621354
8;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2008;12411.28094;320424.124717
9;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2009;12489.47494;321367.571191
10;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2010;12595.53558;324491.87953
11;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2011;12712.064315;332305.83456
12;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2012;12782.338221;336173.319154
13;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2013;12814.8581979;337807.830642
14;Persoonlijk primair inkomen;301;492;Totaal personen;Totaal personen;2014;12925.400072;343733.482261
15;Persoonlijk primair inkomen;301;492;Totaal personen;Nooit gehuwd geweest;2000;3843.803348;67579.372405
16;Persoonlijk primair inkomen;301;492;Totaal personen;Nooit gehuwd geweest;2001;3910.673447;74425.077837
17;Persoonlijk primair inkomen;301;492;Totaal personen;Nooit gehuwd geweest;2002;3958.162829;78690.668038
18;Persoonlijk primair inkomen;301;492;Totaal personen;Nooit gehuwd geweest;2003;3942.999432;79534.949382
19;Persoonlijk primair inkomen;301;492;Totaal personen;Nooit gehuwd geweest;2004;3965.993413;82155.349327
20;Persoonlijk primair inkomen;301;492;Totaal personen;Nooit gehuwd geweest;2005;4045.500577;85645.915999
