ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6785.1;31.3
1;Nederland;Loon;3714.6;35.1
2;Nederland;Winst;678.8;41.9
3;Nederland;Werkloosheid,bijstand,arbeidsongeschikt;613.8;17.8
4;Nederland;Pensioen;1676.4;23.3
5;Noord-Nederland (LD);Totaal particulier huishouden;703.9;28.8
6;Noord-Nederland (LD);Loon;362.7;32.3
7;Noord-Nederland (LD);Winst;73.6;39.2
8;Noord-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;66.9;17.6
9;Noord-Nederland (LD);Pensioen;188.7;22.2
10;Oost-Nederland (LD);Totaal particulier huishouden;1372.0;31.3
11;Oost-Nederland (LD);Loon;760.3;34.7
12;Oost-Nederland (LD);Winst;140.9;42.4
13;Oost-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;115.0;18.5
14;Oost-Nederland (LD);Pensioen;334.9;23.1
15;West-Nederland (LD);Totaal particulier huishouden;3250.9;31.8
16;West-Nederland (LD);Loon;1802.1;35.8
17;West-Nederland (LD);Winst;323.6;42.4
18;West-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;302.5;17.4
19;West-Nederland (LD);Pensioen;773.0;23.7
20;Zuid-Nederland (LD);Totaal particulier huishouden;1458.3;31.2
21;Zuid-Nederland (LD);Loon;789.5;35.3
22;Zuid-Nederland (LD);Winst;140.7;41.6
23;Zuid-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;129.4;18.4
24;Zuid-Nederland (LD);Pensioen;379.7;23.1
25;Groningen (PV);Totaal particulier huishouden;239.7;27.8
26;Groningen (PV);Loon;125.2;31.4
27;Groningen (PV);Winst;22.0;38.1
28;Groningen (PV);Werkloosheid,bijstand,arbeidsongeschikt;27.0;17.0
29;Groningen (PV);Pensioen;61.1;21.5
30;Friesland (PV);Totaal particulier huishouden;264.3;28.9
31;Friesland (PV);Loon;135.0;32.0
32;Friesland (PV);Winst;31.2;39.6
33;Friesland (PV);Werkloosheid,bijstand,arbeidsongeschikt;23.2;17.6
34;Friesland (PV);Pensioen;70.6;22.0
35;Drenthe (PV);Totaal particulier huishouden;199.9;30.0
36;Drenthe (PV);Loon;102.5;33.8
37;Drenthe (PV);Winst;20.5;39.8
38;Drenthe (PV);Werkloosheid,bijstand,arbeidsongeschikt;16.6;18.6
39;Drenthe (PV);Pensioen;57.1;23.2
40;Overijssel (PV);Totaal particulier huishouden;440.0;30.4
41;Overijssel (PV);Loon;241.1;33.9
42;Overijssel (PV);Winst;42.8;42.5
43;Overijssel (PV);Werkloosheid,bijstand,arbeidsongeschikt;38.4;18.5
44;Overijssel (PV);Pensioen;110.9;22.5
45;Flevoland (PV);Totaal particulier huishouden;143.5;31.6
46;Flevoland (PV);Loon;88.0;34.9
47;Flevoland (PV);Winst;15.3;39.3
48;Flevoland (PV);Werkloosheid,bijstand,arbeidsongeschikt;13.6;18.6
49;Flevoland (PV);Pensioen;24.8;22.7
50;Utrecht (PV);Totaal particulier huishouden;482.5;34.2
51;Utrecht (PV);Loon;281.7;37.5
52;Utrecht (PV);Winst;49.5;46.0
53;Utrecht (PV);Werkloosheid,bijstand,arbeidsongeschikt;35.7;18.6
54;Utrecht (PV);Pensioen;107.6;25.1
55;Gelderland (PV);Totaal particulier huishouden;788.5;31.7
56;Gelderland (PV);Loon;431.3;35.2
57;Gelderland (PV);Winst;82.8;43.0
58;Gelderland (PV);Werkloosheid,bijstand,arbeidsongeschikt;63.0;18.4
59;Gelderland (PV);Pensioen;199.2;23.5
60;Noord-Holland (PV);Totaal particulier huishouden;1147.7;31.6
61;Noord-Holland (PV);Loon;624.4;35.6
62;Noord-Holland (PV);Winst;126.8;40.8
63;Noord-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;116.3;17.2
64;Noord-Holland (PV);Pensioen;261.3;23.8
65;Zuid-Holland (PV);Totaal particulier huishouden;1460.3;31.4
66;Zuid-Holland (PV);Loon;814.5;35.5
67;Zuid-Holland (PV);Winst;129.3;42.7
68;Zuid-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;139.0;17.1
69;Zuid-Holland (PV);Pensioen;357.1;23.4
70;Zeeland (PV);Totaal particulier huishouden;160.4;30.2
71;Zeeland (PV);Loon;81.5;33.8
72;Zeeland (PV);Winst;17.9;41.1
73;Zeeland (PV);Werkloosheid,bijstand,arbeidsongeschikt;11.4;17.8
74;Zeeland (PV);Pensioen;47.0;22.6
75;Noord-Brabant (PV);Totaal particulier huishouden;982.8;32.0
76;Noord-Brabant (PV);Loon;544.0;35.8
77;Noord-Brabant (PV);Winst;100.1;42.4
78;Noord-Brabant (PV);Werkloosheid,bijstand,arbeidsongeschikt;78.3;18.6
79;Noord-Brabant (PV);Pensioen;248.1;23.4
80;Limburg (PV);Totaal particulier huishouden;475.5;29.5
81;Limburg (PV);Loon;245.5;34.0
