ID;CharacteristicsHouseholdsAndPersons;CaribbeanNetherlands;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2
0;Total persons;Caribbean Netherlands;2012;3.6;42.0
1;Total persons;Caribbean Netherlands;2013;1.9;44.0
2;Total persons;Caribbean Netherlands;2014;2.0;44.0
3;Total persons;Caribbean Netherlands;2015;4.6;36.0
4;Total persons;Caribbean Netherlands;2016;2.9;42.0
5;Total persons;Caribbean Netherlands;2017;2.1;42.0
6;Total persons;Caribbean Netherlands;2018;0.2;50.0
7;Total persons;Caribbean Netherlands;2019;4.2;38.0
8;Total persons;Caribbean Netherlands;2020;5.2;36.0
9;Total persons;Caribbean Netherlands;2021;1.6;44.0
10;Total persons;Caribbean Netherlands;2022;-3.9;60.0
11;Total persons;Bonaire;2012;3.2;42.0
12;Total persons;Bonaire;2013;1.6;45.0
13;Total persons;Bonaire;2014;2.0;43.0
14;Total persons;Bonaire;2015;4.6;36.0
15;Total persons;Bonaire;2016;2.6;43.0
16;Total persons;Bonaire;2017;1.9;43.0
17;Total persons;Bonaire;2018;-0.5;51.0
18;Total persons;Bonaire;2019;3.7;39.0
19;Total persons;Bonaire;2020;5.6;35.0
20;Total persons;Bonaire;2021;1.7;44.0
21;Total persons;Bonaire;2022;-4.2;60.0
22;Total persons;St. Eustatius;2012;4.5;41.0
23;Total persons;St. Eustatius;2013;2.3;41.0
24;Total persons;St. Eustatius;2014;1.1;48.0
25;Total persons;St. Eustatius;2015;4.6;37.0
26;Total persons;St. Eustatius;2016;2.4;42.0
27;Total persons;St. Eustatius;2017;4.7;39.0
28;Total persons;St. Eustatius;2018;3.4;38.0
29;Total persons;St. Eustatius;2019;6.6;35.0
30;Total persons;St. Eustatius;2020;2.7;44.0
31;Total persons;St. Eustatius;2021;1.2;40.0
32;Total persons;St. Eustatius;2022;-3.3;58.0
33;Total persons;Saba;2012;4.6;36.0
34;Total persons;Saba;2013;3.3;38.0
35;Total persons;Saba;2014;3.1;38.0
36;Total persons;Saba;2015;3.1;34.0
37;Total persons;Saba;2016;6.3;30.0
38;Total persons;Saba;2017;1.7;41.0
39;Total persons;Saba;2018;0.3;49.0
40;Total persons;Saba;2019;5.5;30.0
