ID;Geslacht;Leeftijd;DiagnoseAantal;DiagnosenGGZ;Perioden;PrimaireDiagnoses_1;PrimaireEnNevendiagnoses_2;PrimaireDiagnoses_3;PrimaireEnNevendiagnoses_4;PrimaireDiagnoses_5;PrimaireEnNevendiagnoses_6;PrimaireDiagnoses_7;PrimaireEnNevendiagnoses_8
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2009;1414880.0;1414880.0;8559.0;8559.0;979160.0;979160.0;5923.0;5923.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2010;1491570.0;1491570.0;8977.0;8977.0;1084730.0;1084730.0;6528.0;6528.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2011;1495650.0;1495650.0;8960.0;8960.0;1066035.0;1066035.0;6386.0;6386.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2012;1358840.0;1358840.0;8110.0;8110.0;977405.0;977405.0;5834.0;5834.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2013;1403315.0;1403315.0;8351.0;8351.0;998960.0;998960.0;5945.0;5945.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2014;1249120.0;1249120.0;7407.0;7407.0;978315.0;978315.0;5801.0;5801.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2015;866560.0;866560.0;5115.0;5115.0;621065.0;621065.0;3666.0;3666.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal alle diagnosen;2016;860450.0;860450.0;5052.0;5052.0;613110.0;613110.0;3600.0;3600.0
8;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2009;219365.0;268830.0;1327.0;1626.0;138710.0;170470.0;839.0;1031.0
9;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2010;250675.0;306080.0;1509.0;1842.0;170430.0;208415.0;1026.0;1254.0
10;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2011;274895.0;334140.0;1647.0;2002.0;182350.0;221870.0;1092.0;1329.0
11;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2012;298295.0;357755.0;1780.0;2135.0;195725.0;236015.0;1168.0;1409.0
12;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2013;316235.0;379615.0;1882.0;2259.0;212450.0;254145.0;1264.0;1512.0
13;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2014;289220.0;352030.0;1715.0;2087.0;258795.0;303680.0;1535.0;1801.0
14;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2015;78355.0;127930.0;463.0;755.0;53735.0;86965.0;317.0;513.0
15;Totaal mannen en vrouwen;Totaal;Totaal;1 Totaal stoornissen in de kindertijd;2016;74625.0;116690.0;438.0;685.0;48715.0;81965.0;286.0;481.0
16;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2009;;24740.0;;150.0;;16990.0;;103.0
17;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2010;;25170.0;;151.0;;18615.0;;112.0
18;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2011;;24870.0;;149.0;;17530.0;;105.0
19;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2012;;24490.0;;146.0;;17475.0;;104.0
20;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2013;;23505.0;;140.0;;17135.0;;102.0
21;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2014;;19385.0;;115.0;;15850.0;;94.0
22;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2015;;11245.0;;66.0;;7920.0;;47.0
23;Totaal mannen en vrouwen;Totaal;Totaal;1.1 Zwakzinnigheid;2016;;9640.0;;57.0;;7520.0;;44.0
24;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2009;9610.0;22270.0;58.0;135.0;4290.0;12200.0;26.0;74.0
25;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2010;17275.0;31405.0;104.0;189.0;9015.0;18585.0;54.0;112.0
26;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2011;27015.0;42145.0;162.0;252.0;14645.0;24720.0;88.0;148.0
27;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2012;36190.0;52145.0;216.0;311.0;20365.0;30825.0;122.0;184.0
28;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2013;35985.0;52815.0;214.0;314.0;23125.0;34515.0;138.0;205.0
29;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2014;36090.0;50225.0;214.0;298.0;36030.0;49285.0;214.0;292.0
30;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2015;90.0;2540.0;1.0;15.0;80.0;1740.0;0.0;10.0
31;Totaal mannen en vrouwen;Totaal;Totaal;1.2 Totaal leerstoornissen;2016;35.0;1845.0;0.0;11.0;35.0;1470.0;0.0;9.0
32;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2009;6570.0;12800.0;40.0;77.0;2305.0;6055.0;14.0;37.0
33;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2010;13965.0;21390.0;84.0;129.0;6815.0;11735.0;41.0;71.0
34;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2011;23515.0;31685.0;141.0;190.0;12280.0;17605.0;74.0;105.0
35;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2012;33210.0;42230.0;198.0;252.0;18160.0;23985.0;108.0;143.0
36;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2013;33735.0;43445.0;201.0;259.0;21450.0;27930.0;128.0;166.0
37;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2014;34835.0;43095.0;207.0;256.0;34835.0;42575.0;207.0;252.0
38;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2015;5.0;1435.0;0.0;8.0;5.0;975.0;0.0;6.0
39;Totaal mannen en vrouwen;Totaal;Totaal;1.2.1 Leesstoornis;2016;0.0;1060.0;0.0;6.0;0.0;825.0;0.0;5.0
40;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2009;3035.0;10985.0;18.0;66.0;1985.0;7160.0;12.0;43.0
41;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2010;3315.0;11785.0;20.0;71.0;2200.0;7940.0;13.0;48.0
42;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2011;3500.0;12395.0;21.0;74.0;2365.0;8340.0;14.0;50.0
43;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2012;2985.0;11875.0;18.0;71.0;2210.0;8095.0;13.0;48.0
44;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2013;2250.0;11380.0;13.0;68.0;1680.0;7880.0;10.0;47.0
45;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2014;1255.0;8460.0;7.0;50.0;1195.0;7985.0;7.0;47.0
46;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2015;85.0;1245.0;1.0;7.0;75.0;855.0;0.0;5.0
47;Totaal mannen en vrouwen;Totaal;Totaal;1.2.2 Leerstoornis: overig of NAO;2016;35.0;905.0;0.0;5.0;30.0;740.0;0.0;4.0
48;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2009;280.0;1595.0;2.0;10.0;185.0;1005.0;1.0;6.0
49;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2010;280.0;1720.0;2.0;10.0;210.0;1245.0;1.0;7.0
50;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2011;255.0;1665.0;2.0;10.0;170.0;1135.0;1.0;7.0
51;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2012;255.0;1770.0;2.0;11.0;180.0;1190.0;1.0;7.0
52;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2013;215.0;1870.0;1.0;11.0;175.0;1280.0;1.0;8.0
53;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2014;135.0;1475.0;1.0;9.0;130.0;1450.0;1.0;9.0
54;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2015;5.0;80.0;0.0;0.0;5.0;50.0;0.0;0.0
55;Totaal mannen en vrouwen;Totaal;Totaal;1.3 Stoornissen motorische vaardigheden;2016;5.0;75.0;0.0;0.0;5.0;60.0;0.0;0.0
