ID;Geslacht;Leeftijd;Herkomstgroepering;SoortHuishouden;Perioden;TotaalBevolking_1;AlleenArbeidTotaal_2;ArbeidAlsWerknemer_3;ArbeidAlsZelfstandige_4;ArbeidAlsWerknemerEnAlsZelfstandige_5;AlleenUitkeringTotaal_6;AOUitkering_7;WWUitkering_8;WWEnAOUitkering_9;Bijstandsuitkering_10;BijstandsEnAOUitkering_11;AndereUitkeringen_12;AlleenArbeidEnUitkeringTotaal_13;ArbeidAlsWerknemerEnUitkeringTotaal_14;ArbeidAlsWerknemerEnAOUitkering_15;ArbeidAlsWerknemerEnWWUitkering_16;ArbeidAlsWerknemerEnBijstandsuitk_17;ArbeidAlsWerknemerEnAndereUitkering_18;ArbeidAlsZelfstandigeEnUitkering_19;ArbeidAlsWerknEnAlsZelfsEnUitk_20;AlleenPensioen_21;AlleenArbeidEnPensioenTotaal_22;ArbeidAlsWerknemerEnPensioen_23;ArbeidAlsZelfstandigeEnPensioen_24;ArbeidAlsWerknEnAlsZelfsEnPens_25;AlleenUitkeringEnPensioenTotaal_26;PensioenEnAOUitkering_27;PensioenEnWWUitkering_28;PensioenEnBijstandsuitkering_29;PensioenEnAndereUitkeringen_30;ArbeidUitkeringEnPensioen_31;GeenArbeidUitkeringPensioenTotaal_32;NietSchoolgaandeKinderen_33;ScholierStudent_34;OverigePersonen_35
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2001, vrijdag 28 september;16077.5;7203.4;6316.2;632.3;254.9;1025.8;487.5;51.1;10.0;341.0;17.0;119.3;447.1;374.0;217.8;21.1;37.9;97.2;58.4;14.8;2229.7;173.8;92.3;73.4;8.0;181.3;62.5;18.3;29.4;71.1;24.5;4791.9;814.2;2655.0;1322.6
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2002, vrijdag 27 september;16174.2;7239.6;6357.6;630.2;251.8;1032.2;486.1;65.7;11.2;336.0;16.7;116.3;440.2;369.7;221.0;25.9;37.4;85.3;56.9;13.7;2256.1;189.7;105.7;75.0;9.0;187.0;67.1;15.5;32.8;71.7;27.6;4801.8;818.2;2689.5;1294.2
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2003, vrijdag 26 september;16245.1;7199.0;6307.8;636.8;254.5;1087.3;483.0;108.2;14.8;349.6;16.7;115.0;427.2;353.8;206.9;33.8;34.1;78.9;60.1;13.4;2268.0;212.7;123.3;79.0;10.4;206.2;70.9;16.4;34.4;84.5;31.7;4812.9;816.4;2754.0;1242.5
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2004, vrijdag 24 september;16292.6;7125.6;6243.3;637.2;245.1;1113.1;477.0;132.4;17.8;354.2;16.1;115.6;413.8;341.0;191.6;40.7;32.7;76.0;60.7;12.1;2309.9;219.0;127.5;81.5;10.1;221.7;75.4;17.1;35.6;93.7;33.5;4855.9;803.0;2809.9;1243.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2005, vrijdag 30 september;16328.8;7154.5;6237.3;651.9;265.4;1089.0;453.4;128.2;16.2;349.8;15.2;126.2;396.8;323.3;169.7;43.8;33.7;76.2;61.3;12.1;2338.0;246.3;145.2;89.2;12.0;230.5;78.0;16.8;36.7;99.0;37.0;4836.8;789.5;2833.8;1213.6
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2006, vrijdag 29 september;16352.0;7260.2;6288.2;689.0;283.0;1006.8;440.4;104.5;13.4;320.5;10.3;117.5;368.1;296.4;152.0;38.9;36.1;69.4;61.2;10.5;2403.7;258.3;142.5;106.2;9.6;221.3;82.2;16.3;37.1;85.8;35.1;4798.5;769.5;2828.9;1200.2
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2007, vrijdag 28 september;16396.3;7462.1;6477.3;705.0;279.8;939.6;433.8;82.5;10.4;291.6;10.3;110.9;350.4;284.9;149.8;35.2;35.7;64.3;56.0;9.5;2427.0;280.1;158.8;111.6;9.6;230.2;84.4;16.1;39.8;90.0;37.1;4669.9;749.1;2785.2;1135.6
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2008, vrijdag 26 september;16466.9;7608.2;6560.6;748.5;299.1;902.6;439.8;69.6;7.1;276.2;9.1;100.8;326.7;263.3;147.5;29.6;29.0;57.2;54.4;9.0;2447.4;305.3;168.3;126.3;10.6;232.4;84.0;13.0;42.7;92.6;37.4;4606.9;738.0;2767.6;1101.3
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2009, vrijdag 25 september;16555.0;7542.4;6460.3;779.8;302.2;979.4;435.7;131.3;6.3;292.1;9.7;104.2;345.4;273.8;137.0;51.4;30.4;55.0;62.1;9.6;2490.1;316.5;169.2;136.4;10.8;244.1;96.0;10.8;45.2;92.1;43.0;4594.1;734.6;2800.2;1059.4
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomst;Totaal huishoudens;2010, vrijdag 24 september;16635.6;7531.3;6461.2;766.9;303.2;1019.9;444.1;135.0;5.1;303.5;9.1;123.0;345.9;272.2;130.9;56.1;33.1;52.0;64.0;9.7;2545.4;329.1;180.9;137.1;11.1;244.0;93.3;10.2;49.4;91.1;42.7;4577.3;733.1;2808.8;1035.4
