ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;GeenGodsdienst_1;RoomsKatholiek_2;Pinkstergemeente_3;Protestant_4;Adventist_5;Methodist_6;Evangelisch_7;Anglicaans_8;Islam_9;Jehova_10;Hindoeisme_11;Anders_12;EenKeerPerWeekOfVaker_13;TweeTotDrieKeerPerMaand_14;EenKeerPerMaand_15;MinderDanEenKeerPerMaand_16;ZeldenOfNooit_17
0;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2013;13.3;58.4;6.0;2.4;3.8;3.7;3.7;1.4;0.8;1.2;0.7;4.6;29.6;11.8;11.1;13.3;34.2
1;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2017/2018;18.7;49.0;5.8;2.1;5.5;6.8;2.1;1.8;0.5;1.8;0.6;5.3;27.1;11.7;11.0;13.1;37.2
2;Totaal persoonskenmerken;Percentage;Caribisch Nederland;2021;18.2;47.2;4.7;1.9;7.4;7.6;4.2;2.3;0.2;1.1;0.4;4.7;27.7;10.4;9.8;10.4;41.8
3;Totaal persoonskenmerken;Percentage;Bonaire;2013;12.0;68.2;6.7;2.7;1.2;;4.5;;;1.4;0.7;2.4;30.4;12.4;11.9;13.1;32.3
4;Totaal persoonskenmerken;Percentage;Bonaire;2017/2018;18.7;59.7;6.5;2.9;1.9;;2.8;;;2.1;0.6;4.2;26.7;10.5;12.4;15.6;34.9
5;Totaal persoonskenmerken;Percentage;Bonaire;2021;15.2;60.3;4.9;3.3;2.0;;6.0;0.4;;1.4;;5.8;26.0;9.0;12.5;10.1;42.5
6;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2013;17.2;23.8;4.4;;16.8;21.4;;4.1;;;;11.2;28.4;7.3;8.4;16.2;39.7
7;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2017/2018;14.9;23.7;7.2;;17.8;28.6;;2.6;;1.6;;2.6;33.8;13.9;7.6;9.3;35.4
8;Totaal persoonskenmerken;Percentage;Sint-Eustatius;2021;22.1;23.3;3.2;;18.9;24.8;2.2;1.7;;1.2;;1.9;30.4;10.6;6.7;9.5;42.9
9;Totaal persoonskenmerken;Percentage;Saba;2013;17.0;42.0;3.4;3.0;;;3.7;8.2;5.9;;;10.2;25.7;15.0;8.7;9.5;41.2
10;Totaal persoonskenmerken;Percentage;Saba;2017/2018;24.2;43.7;;;1.6;;2.0;7.8;;;1.9;13.5;17.8;13.3;10.6;8.6;49.7
11;Totaal persoonskenmerken;Percentage;Saba;2021;20.4;50.1;6.7;;3.6;;2.4;8.9;;;;6.1;28.5;14.3;6.7;12.7;37.9
12;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.0;3.0;1.4;0.9;1.2;1.1;1.1;0.7;0.5;0.6;0.5;1.3;2.9;2.1;2.0;2.2;3.1
13;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;1.9;2.5;1.1;0.7;1.1;1.2;0.7;0.6;0.3;0.6;0.4;1.1;2.4;1.7;1.7;1.8;2.6
14;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Caribisch Nederland;2021;2.0;2.5;1.1;0.7;1.3;1.4;1.0;0.8;0.2;0.5;0.3;1.1;2.5;1.7;1.7;1.7;2.8
