ID;Geslacht;Leeftijd;DiagnosesICPC;Marges;Perioden;PersonenMetDiagnose_1
0;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2012;196.0
1;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2013;194.0
2;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2014;200.0
3;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2015;200.0
4;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2016;188.0
5;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2017;194.0
6;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2018;199.0
7;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2019;212.0
8;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2020;210.0
9;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2021;214.0
10;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Waarde;2022;225.0
11;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2012;195.0
12;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2013;193.0
13;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2014;199.0
14;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2015;199.0
15;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2016;187.0
16;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2017;193.0
17;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2018;198.0
18;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2019;211.0
19;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2020;209.0
20;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2021;213.0
21;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2022;225.0
22;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2012;197.0
23;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2013;194.0
24;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2014;200.0
25;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2015;201.0
26;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2016;189.0
27;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2017;194.0
28;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2018;199.0
29;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2019;212.0
30;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2020;211.0
31;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2021;215.0
32;Totaal mannen en vrouwen;Totaal leeftijd;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2022;226.0
33;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2012;112.0
34;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2013;114.0
35;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2014;115.0
36;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2015;118.0
37;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2016;117.0
38;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2017;122.0
39;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2018;127.0
40;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2019;132.0
41;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2020;139.0
42;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2021;138.0
43;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Waarde;2022;141.0
44;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2012;111.0
45;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2013;114.0
46;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2014;115.0
47;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2015;117.0
48;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2016;116.0
49;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2017;122.0
50;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2018;127.0
51;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2019;132.0
52;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2020;138.0
53;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2021;137.0
54;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Ondergrens 95%-interval;2022;140.0
55;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Bovengrens 95%-interval;2012;113.0
56;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Bovengrens 95%-interval;2013;115.0
57;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Bovengrens 95%-interval;2014;116.0
58;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Bovengrens 95%-interval;2015;118.0
59;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Bovengrens 95%-interval;2016;117.0
60;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Bovengrens 95%-interval;2017;123.0
61;Totaal mannen en vrouwen;Totaal leeftijd;A01-A29 Tot. alg. symptomen en klachten;Bovengrens 95%-interval;2018;128.0
