ID;Herkomstgroepering;ArbeidOpleiding;PersonenMetEenUitkering_1;PersonenMetABWUitkering_2;PersonenMetWAOWAZWajongUitkering_3;PersonenMetWWUitkering_4
0;Herkomstgroepering totaal;Arbeid/opleiding totaal;1484;488.0;787.0;255.0
1;Herkomstgroepering totaal;Werkzaam;326;54.0;204.0;75.0
2;Herkomstgroepering totaal;Werkloos;188;101.0;27.0;70.0
3;Herkomstgroepering totaal;Niet beroepsbevolking;970;333.0;555.0;109.0
4;Herkomstgroepering totaal;Basisonderwijs;417;174.0;212.0;44.0
5;Herkomstgroepering totaal;Mavo;129;48.0;65.0;20.0
6;Herkomstgroepering totaal;Vbo;266;81.0;145.0;49.0
7;Herkomstgroepering totaal;Havo/vwo;68;38.0;20.0;11.0
8;Herkomstgroepering totaal;Mbo;412;90.0;245.0;92.0
9;Herkomstgroepering totaal;Hbo;141;33.0;82.0;29.0
10;Herkomstgroepering totaal;Wo;51;23.0;19.0;10.0
11;Autochtonen;Arbeid/opleiding totaal;1084;265.0;651.0;203.0
12;Autochtonen;Werkzaam;271;36.0;179.0;62.0
13;Autochtonen;Werkloos;119;55.0;20.0;54.0
14;Autochtonen;Niet beroepsbevolking;694;174.0;453.0;87.0
15;Autochtonen;Basisonderwijs;255;;159.0;30.0
16;Autochtonen;Mavo;89;;52.0;15.0
17;Autochtonen;Vbo;210;;125.0;39.0
18;Autochtonen;Havo/vwo;39;;14.0;8.0
19;Autochtonen;Mbo;344;;217.0;79.0
20;Autochtonen;Hbo;110;;68.0;24.0
21;Autochtonen;Wo;38;;16.0;8.0
22;Allochtonen;Arbeid/opleiding totaal;400;223.0;136.0;52.0
23;Allochtonen;Werkzaam;55;18.0;25.0;14.0
24;Allochtonen;Werkloos;69;46.0;8.0;16.0
25;Allochtonen;Niet beroepsbevolking;276;159.0;103.0;22.0
26;Allochtonen;Basisonderwijs;162;;53.0;14.0
27;Allochtonen;Mavo;41;;13.0;6.0
28;Allochtonen;Vbo;56;;19.0;10.0
29;Allochtonen;Havo/vwo;29;;6.0;4.0
30;Allochtonen;Mbo;68;;27.0;13.0
31;Allochtonen;Hbo;31;;13.0;5.0
32;Allochtonen;Wo;13;;4.0;
33;Westerse allochtonen;Arbeid/opleiding totaal;157;57.0;77.0;28.0
34;Westerse allochtonen;Werkzaam;31;7.0;17.0;7.0
35;Westerse allochtonen;Werkloos;21;11.0;4.0;7.0
36;Westerse allochtonen;Niet beroepsbevolking;105;39.0;56.0;13.0
37;Westerse allochtonen;Basisonderwijs;37;;18.0;4.0
38;Westerse allochtonen;Mavo;15;;7.0;3.0
39;Westerse allochtonen;Vbo;29;;15.0;5.0
40;Westerse allochtonen;Havo/vwo;11;;4.0;
41;Westerse allochtonen;Mbo;37;;20.0;8.0
42;Westerse allochtonen;Hbo;19;;10.0;4.0
43;Westerse allochtonen;Wo;8;;3.0;
44;Niet westerse allochtonen;Arbeid/opleiding totaal;243;166.0;59.0;24.0
45;Niet westerse allochtonen;Werkzaam;25;11.0;8.0;6.0
46;Niet westerse allochtonen;Werkloos;48;35.0;4.0;9.0
47;Niet westerse allochtonen;Niet beroepsbevolking;170;120.0;47.0;9.0
48;Niet westerse allochtonen;Basisonderwijs;125;;35.0;10.0
49;Niet westerse allochtonen;Mavo;25;;5.0;3.0
50;Niet westerse allochtonen;Vbo;27;;4.0;5.0
51;Niet westerse allochtonen;Havo/vwo;18;;;
52;Niet westerse allochtonen;Mbo;31;;8.0;5.0
53;Niet westerse allochtonen;Hbo;11;;4.0;
54;Niet westerse allochtonen;Wo;5;;;
