ID;Geslacht;Kenmerken;Perioden;EenOfMeerDelictenTotaal_1;MeerDanEenDelictsoort_2;GeweldsdelictenTotaal_3;VechtpartijInOpenbaar_4;VerwondingMetMesOfAnderWapen_5;MishandelingMetLetsel_6;Bedreiging_7;VermogensdelictenTotaal_8;DiefstaldelictenTotaal_9;Fietsdiefstal_10;DiefstalOpSchoolOfWerkTotaal_11;DiefstalOpSchool_12;DiefstalOpWerk_13;Winkeldiefstal_14;PrijsjesVerwisselen_15;Heling_16;VandalismedelictenTotaal_17;OpzettelijkeVernieling_18;Graffiti_19;Brandstichting_20;Zwartrijden_21;RijdenOnderInvloed_22;Wapenbezit_23
0;Mannen en vrouwen;Totaal jongeren (12-29 jaar);1997;46.3;22.1;11.0;7.8;0.6;3.3;3.5;23.9;14.1;3.7;7.3;5.1;2.7;7.2;8.3;9.5;13.2;10.7;4.4;1.1;21.9;12.5;10.5
1;Mannen en vrouwen;Totaal jongeren (12-29 jaar);2001;50.1;23.7;12.9;9.0;0.5;3.6;5.2;22.2;13.5;3.8;7.7;5.9;2.3;5.6;6.9;8.7;14.2;11.6;4.8;1.6;26.9;13.3;7.8
2;Mannen en vrouwen;Totaal jongeren (12-29 jaar);2003;49.4;23.8;13.3;9.2;0.7;3.3;5.7;21.3;14.1;4.4;8.2;5.7;2.9;5.7;5.4;7.9;15.6;12.9;4.7;1.5;25.9;14.0;8.0
3;Mannen en vrouwen;Lft. cat. 1: 12-24 jaar;1997;50.7;26.6;14.4;10.5;0.8;4.2;4.6;27.7;17.5;4.8;8.8;7.1;2.4;9.4;9.8;10.6;18.2;14.5;6.6;1.4;25.9;8.5;12.9
4;Mannen en vrouwen;Lft. cat. 1: 12-24 jaar;2001;55.0;28.7;16.7;11.9;0.7;4.6;6.7;27.0;17.8;4.9;10.3;8.5;2.5;7.4;8.3;10.2;19.2;15.8;6.7;2.1;29.2;12.4;9.6
5;Mannen en vrouwen;Lft. cat. 1: 12-24 jaar;2003;53.3;27.8;16.2;11.5;0.8;4.3;6.6;24.0;16.6;5.4;9.5;7.4;2.6;7.0;5.8;8.5;20.1;16.4;6.2;2.1;29.8;12.7;9.1
6;Mannen en vrouwen;Lft. cat. 1: 12-17 jaar;1997;51.3;30.1;18.2;13.5;1.3;5.3;5.2;30.7;21.9;3.9;10.5;9.9;1.6;14.6;12.5;9.4;26.4;20.1;10.8;2.3;22.0;;15.0
7;Mannen en vrouwen;Lft. cat. 1: 12-17 jaar;2001;54.5;31.0;21.5;14.6;1.0;6.6;9.8;27.6;20.3;4.5;11.4;10.4;1.6;10.6;9.2;8.0;27.1;21.4;11.0;3.6;25.5;;10.7
8;Mannen en vrouwen;Lft. cat. 1: 12-17 jaar;2003;51.3;28.7;18.9;13.3;1.0;4.9;7.7;25.0;19.4;4.9;11.3;10.6;1.0;9.5;7.2;5.8;26.4;20.0;10.6;3.3;25.4;;10.3
9;Mannen en vrouwen;Lft. cat. 1: 18-24 jaar;1997;50.2;23.6;11.2;7.9;0.4;3.3;4.1;25.1;13.9;5.5;7.4;4.8;3.1;5.0;7.5;11.5;11.3;9.7;3.1;0.7;29.0;8.5;11.1
