ID;KenmerkenBaanWerknemer;Perioden;BeloningsverschilTussenManEnVrouw_1
0;Totaal;2008;79.9
1;Totaal;2009;80.2
2;Totaal;2010;81.3
3;Totaal;2011;81.5
4;Totaal;2012;82.4
5;Totaal;2013;83.4
6;Totaal;2014;83.9
7;Totaal;2015;84.0
8;Totaal;2016;84.5
9;Totaal;2017;85.0
10;Totaal;2018;85.3
11;Totaal;2019;85.7
12;Totaal;2020;86.3
13;Totaal;2021;86.8
14;Totaal;2022;87.3
15;Totaal;2023;88.0
16;Arbeidsduur: minder dan 12 uur per week;2008;88.8
17;Arbeidsduur: minder dan 12 uur per week;2009;93.6
18;Arbeidsduur: minder dan 12 uur per week;2010;94.2
19;Arbeidsduur: minder dan 12 uur per week;2011;94.1
20;Arbeidsduur: minder dan 12 uur per week;2012;93.7
21;Arbeidsduur: minder dan 12 uur per week;2013;94.4
22;Arbeidsduur: minder dan 12 uur per week;2014;96.7
23;Arbeidsduur: minder dan 12 uur per week;2015;98.1
24;Arbeidsduur: minder dan 12 uur per week;2016;99.0
25;Arbeidsduur: minder dan 12 uur per week;2017;98.5
26;Arbeidsduur: minder dan 12 uur per week;2018;100.4
27;Arbeidsduur: minder dan 12 uur per week;2019;100.1
28;Arbeidsduur: minder dan 12 uur per week;2020;101.0
29;Arbeidsduur: minder dan 12 uur per week;2021;100.1
30;Arbeidsduur: minder dan 12 uur per week;2022;100.6
31;Arbeidsduur: minder dan 12 uur per week;2023;100.7
32;Arbeidsduur: 12 tot 20 uur per week;2008;102.4
33;Arbeidsduur: 12 tot 20 uur per week;2009;102.4
34;Arbeidsduur: 12 tot 20 uur per week;2010;101.7
35;Arbeidsduur: 12 tot 20 uur per week;2011;102.3
36;Arbeidsduur: 12 tot 20 uur per week;2012;103.5
37;Arbeidsduur: 12 tot 20 uur per week;2013;104.6
38;Arbeidsduur: 12 tot 20 uur per week;2014;107.3
39;Arbeidsduur: 12 tot 20 uur per week;2015;107.8
40;Arbeidsduur: 12 tot 20 uur per week;2016;108.8
41;Arbeidsduur: 12 tot 20 uur per week;2017;110.7
42;Arbeidsduur: 12 tot 20 uur per week;2018;110.6
43;Arbeidsduur: 12 tot 20 uur per week;2019;110.5
44;Arbeidsduur: 12 tot 20 uur per week;2020;109.8
45;Arbeidsduur: 12 tot 20 uur per week;2021;108.9
46;Arbeidsduur: 12 tot 20 uur per week;2022;108.5
47;Arbeidsduur: 12 tot 20 uur per week;2023;108.0
48;Arbeidsduur: 20 tot 25 uur per week;2008;100.8
49;Arbeidsduur: 20 tot 25 uur per week;2009;101.2
50;Arbeidsduur: 20 tot 25 uur per week;2010;102.9
51;Arbeidsduur: 20 tot 25 uur per week;2011;103.1
52;Arbeidsduur: 20 tot 25 uur per week;2012;105.1
53;Arbeidsduur: 20 tot 25 uur per week;2013;106.9
54;Arbeidsduur: 20 tot 25 uur per week;2014;108.5
55;Arbeidsduur: 20 tot 25 uur per week;2015;110.3
56;Arbeidsduur: 20 tot 25 uur per week;2016;111.6
57;Arbeidsduur: 20 tot 25 uur per week;2017;111.0
58;Arbeidsduur: 20 tot 25 uur per week;2018;111.7
59;Arbeidsduur: 20 tot 25 uur per week;2019;110.0
60;Arbeidsduur: 20 tot 25 uur per week;2020;109.1
61;Arbeidsduur: 20 tot 25 uur per week;2021;109.0
62;Arbeidsduur: 20 tot 25 uur per week;2022;109.0
63;Arbeidsduur: 20 tot 25 uur per week;2023;108.3
64;Arbeidsduur: 25 tot 30 uur per week;2008;92.9
65;Arbeidsduur: 25 tot 30 uur per week;2009;93.9
66;Arbeidsduur: 25 tot 30 uur per week;2010;95.9
67;Arbeidsduur: 25 tot 30 uur per week;2011;94.5
68;Arbeidsduur: 25 tot 30 uur per week;2012;95.9
69;Arbeidsduur: 25 tot 30 uur per week;2013;99.1
70;Arbeidsduur: 25 tot 30 uur per week;2014;103.3
71;Arbeidsduur: 25 tot 30 uur per week;2015;104.3
