ID;Geslacht;Leeftijd;Afstudeerrichting;Herkomstgroepering;Peilmoment;BedrijfstakkenBranchesSBI93;Perioden;LoonVanWerknemersTotaal_1;LoonVanWerknemersVoltijd_2;LoonVanWerknemersTotaal_3;LoonVanWerknemersVoltijd_4;LoonVanWerknemersTotaal_5;LoonVanWerknemersVoltijd_6;LoonVanWerknemersTotaal_7;LoonVanWerknemersVoltijd_8;LoonVanWerknemersTotaal_9;LoonVanWerknemersVoltijd_10;LoonVanWerknemersTotaal_11;LoonVanWerknemersVoltijd_12;LoonVanWerknemersTotaal_13;LoonVanWerknemersVoltijd_14;LoonVanWerknemersTotaal_15;LoonVanWerknemersVoltijd_16
0;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2004/'05;1.6;2.1;1.4;1.9;1.4;1.9;1.2;1.9;1.8;2.3;1.5;2.3;1.7;2.3;2.5;2.7
1;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2005/'06;1.7;2.3;1.6;2.1;1.6;2.1;1.4;2.3;2.0;2.6;1.7;2.6;1.9;2.5;2.6;2.9
2;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2006/'07;1.9;2.5;1.7;2.2;1.7;2.2;1.6;2.5;2.1;2.7;1.8;2.6;2.1;2.7;2.7;2.9
3;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;0;Cohort 2007/'08;1.9;2.5;1.7;2.3;1.7;2.3;1.6;2.4;2.2;2.8;2.0;3.0;2.1;2.7;2.9;3.1
4;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2004/'05;1.1;1.7;1.1;1.7;1.1;1.7;0.7;;1.0;1.6;0.6;;1.0;1.5;2.2;2.2
5;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2005/'06;1.2;2.1;1.2;2.1;1.2;2.1;1.2;;1.1;2.3;0.8;;1.1;2.3;;
6;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2006/'07;1.5;2.3;1.5;2.2;1.5;2.2;0.1;;1.3;2.3;0.6;;1.4;2.3;2.3;2.3
7;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;1;Cohort 2007/'08;1.4;2.2;1.5;2.2;1.5;2.2;0.6;;1.3;2.1;;;1.2;1.7;2.6;2.6
8;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2004/'05;1.8;2.1;1.6;1.9;1.6;1.9;0.3;;2.2;2.5;2.0;2.7;2.2;2.5;2.5;2.5
9;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2005/'06;2.0;2.3;1.8;2.1;1.8;2.1;0.9;2.6;2.3;2.7;2.3;2.7;2.3;2.7;2.3;2.9
10;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2006/'07;2.1;2.4;1.9;2.2;1.9;2.2;0.8;;2.5;2.8;2.6;2.9;2.5;2.8;2.6;3.0
11;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;2;Cohort 2007/'08;2.2;2.5;2.0;2.4;2.0;2.4;1.5;;2.6;2.9;2.4;3.0;2.6;2.9;1.9;2.6
12;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2004/'05;1.2;1.9;1.2;1.8;1.2;1.8;0.9;3.0;1.4;2.2;1.4;2.2;1.3;2.2;2.1;2.5
13;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2005/'06;1.4;2.2;1.3;2.0;1.3;2.0;1.2;2.7;1.6;2.6;1.6;2.9;1.5;2.6;2.5;2.7
14;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2006/'07;1.5;2.3;1.4;2.1;1.4;2.1;0.8;;1.8;2.8;1.6;2.9;1.7;2.8;2.5;2.9
15;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;3;Cohort 2007/'08;1.6;2.4;1.5;2.2;1.5;2.2;1.5;2.3;1.8;2.8;1.8;2.9;1.7;2.8;2.6;3.0
16;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2004/'05;0.9;1.7;0.9;1.7;0.9;1.7;0.7;;0.8;2.0;0.9;1.8;0.8;2.0;0.7;
17;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2005/'06;1.0;1.9;1.1;1.8;1.1;1.8;0.8;1.8;0.9;2.3;1.0;2.2;0.9;2.3;0.9;
18;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2006/'07;1.0;1.9;1.1;1.8;1.1;1.8;0.7;;0.9;2.3;0.9;1.9;0.9;2.4;0.3;
19;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;4;Cohort 2007/'08;1.1;1.9;1.1;1.9;1.1;1.9;1.1;2.1;1.0;2.3;1.1;2.0;0.9;2.4;1.0;
20;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2004/'05;1.3;1.9;1.2;1.7;1.2;1.7;0.4;;1.5;2.4;1.5;2.1;1.5;2.4;1.5;2.8
21;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2005/'06;1.5;2.2;1.4;2.0;1.4;2.0;1.1;;1.6;2.6;1.2;2.2;1.7;2.6;0.7;
22;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2006/'07;1.6;2.3;1.6;2.1;1.6;2.1;0.7;;1.7;2.7;1.4;2.2;1.8;2.7;0.5;
23;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;5;Cohort 2007/'08;1.6;2.3;1.5;2.1;1.5;2.1;0.6;;1.9;2.7;1.6;2.2;1.9;2.8;0.7;2.0
24;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2004/'05;2.1;2.4;1.7;1.9;1.7;1.9;;;2.4;2.8;2.4;3.1;2.5;2.8;0.2;
25;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2005/'06;2.3;2.7;1.8;2.2;1.8;2.2;1.8;;2.8;3.0;3.1;3.3;2.8;3.0;2.1;2.3
26;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2006/'07;2.6;2.9;2.1;2.4;2.1;2.4;5.0;5.0;3.0;3.3;2.7;2.9;3.0;3.3;3.0;3.0
27;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;6;Cohort 2007/'08;2.6;2.9;2.2;2.5;2.2;2.5;;;2.9;3.3;3.6;3.9;2.9;3.2;1.8;
28;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2004/'05;1.8;2.1;1.6;1.9;1.6;1.9;0.9;1.9;1.9;2.3;1.6;2.3;1.9;2.3;2.3;2.6
29;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2005/'06;2.0;2.3;1.8;2.1;1.8;2.1;1.0;1.2;2.2;2.5;1.9;2.5;2.2;2.5;2.1;2.5
30;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2006/'07;2.1;2.5;1.9;2.2;1.9;2.2;2.3;3.7;2.4;2.7;2.3;2.8;2.4;2.7;2.3;2.6
31;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;7;Cohort 2007/'08;2.2;2.6;2.0;2.3;2.0;2.3;1.5;2.8;2.4;2.8;2.4;3.2;2.4;2.7;2.5;2.9
32;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2004/'05;1.4;1.8;1.4;1.8;1.4;1.8;0.9;1.4;1.4;1.9;1.2;1.8;1.4;2.0;1.2;1.8
33;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2005/'06;1.5;2.2;1.5;2.1;1.5;2.1;0.9;;1.4;2.3;1.4;2.1;1.4;2.3;1.6;3.3
34;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2006/'07;1.6;2.3;1.6;2.2;1.6;2.2;1.2;1.9;1.6;2.5;1.5;2.2;1.6;2.5;1.8;3.8
35;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;8;Cohort 2007/'08;1.6;2.3;1.6;2.3;1.6;2.3;0.9;2.6;1.6;2.5;1.6;2.5;1.6;2.5;1.7;2.8
36;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2004/'05;2.0;2.4;1.7;2.1;1.7;2.1;1.3;2.8;2.2;2.5;2.5;2.9;2.2;2.5;2.7;3.0
37;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2005/'06;2.3;2.5;2.0;2.3;2.0;2.3;1.1;;2.5;2.7;2.4;2.7;2.5;2.6;3.2;3.3
38;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2006/'07;2.4;2.7;2.0;2.3;2.0;2.3;1.7;2.1;2.7;2.8;2.6;2.7;2.6;2.8;4.0;4.2
39;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9;Cohort 2007/'08;2.4;2.7;2.0;2.4;2.1;2.4;1.8;2.2;2.6;2.8;2.8;3.0;2.5;2.8;3.2;3.4
40;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;M Onderwijs;Cohort 2004/'05;1.6;2.0;1.5;2.0;1.5;2.0;1.4;1.9;1.7;2.0;1.5;2.0;1.7;2.0;1.6;2.0
41;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;M Onderwijs;Cohort 2005/'06;1.7;2.2;1.7;2.2;1.7;2.2;1.5;2.2;1.8;2.2;1.9;2.2;1.8;2.2;1.8;2.1
42;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;M Onderwijs;Cohort 2006/'07;1.8;2.3;1.7;2.3;1.7;2.3;1.6;2.3;1.9;2.2;1.7;2.7;1.9;2.2;1.8;2.1
43;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;M Onderwijs;Cohort 2007/'08;1.8;2.4;1.8;2.4;1.8;2.4;1.7;2.4;1.9;2.3;1.7;2.2;1.9;2.3;2.0;2.2
44;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2004/'05;1.7;2.3;1.4;1.9;1.4;1.9;0.9;1.2;2.1;2.6;1.5;2.8;1.5;2.2;2.6;2.7
45;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2005/'06;1.8;2.5;1.5;2.1;1.5;2.1;1.2;2.1;2.1;2.8;1.4;2.2;1.6;2.4;2.8;2.9
46;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2006/'07;1.8;2.6;1.6;2.2;1.6;2.2;1.6;2.4;2.2;2.8;1.4;2.4;1.7;2.5;2.8;3.0
47;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2007/'08;1.9;2.7;1.6;2.2;1.6;2.2;1.2;1.6;2.3;3.0;1.8;2.8;1.8;2.5;3.0;3.2
48;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2004/'05;1.4;2.0;1.2;1.8;1.2;1.8;1.0;2.0;1.6;2.3;1.3;2.1;1.5;2.2;2.3;2.5
49;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2005/'06;1.6;2.3;1.4;2.1;1.4;2.1;1.4;2.6;1.8;2.5;1.6;2.4;1.7;2.5;2.4;2.5
50;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2006/'07;1.6;2.3;1.5;2.1;1.5;2.1;1.7;2.4;1.9;2.5;1.7;2.3;1.7;2.5;2.5;2.7
51;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2007/'08;1.7;2.4;1.5;2.2;1.5;2.2;1.3;2.5;1.9;2.6;1.6;3.0;1.8;2.5;2.7;2.8
52;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Onbekend;Cohort 2004/'05;1.4;2.3;1.2;1.9;1.2;1.9;;;1.8;3.1;2.1;3.0;1.8;3.2;;
53;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Onbekend;Cohort 2005/'06;1.1;2.0;1.2;2.1;1.2;2.1;;;0.8;1.6;;;0.8;1.6;;
54;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Onbekend;Cohort 2006/'07;1.1;2.8;1.2;;1.2;;;;1.0;2.8;;;1.5;2.8;0.1;
55;Totaal mannen en vrouwen;0;0;0;Direct na afstuderen;Onbekend;Cohort 2007/'08;1.8;3.0;1.6;2.4;1.6;2.4;;;2.2;3.5;2.0;4.2;2.2;3.3;;
56;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2004/'05;2.3;2.5;2.1;2.3;2.1;2.3;1.9;2.5;2.5;2.8;2.2;2.8;2.5;2.7;3.0;3.1
57;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2005/'06;2.4;2.7;2.2;2.5;2.2;2.5;2.0;2.6;2.7;2.9;2.3;2.8;2.6;2.9;3.1;3.2
58;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2006/'07;2.5;2.8;2.3;2.6;2.3;2.6;2.1;2.7;2.8;3.0;2.4;2.9;2.8;3.0;3.2;3.3
