ID;TypeOfRental;Periods;RentIncreaseIncludingHarmonisation_1;RentIncreaseExcludingHarmonisation_2
0;Total;2015;2.4;1.9
1;Total;2016;1.9;1.4
2;Total;2017;1.6;1.2
3;Total;2018;2.3;1.8
4;Total;2019;2.5;2.1
5;Total;2020;2.9;2.4
6;Total;2021;0.8;0.3
7;Total;2022;3.0;2.4
8;Total;2023;2.0;1.3
9;Total;2024;5.4;4.7
10;Liberalised rental;2015;1.8;1.6
11;Liberalised rental;2016;2.2;1.6
12;Liberalised rental;2017;2.3;1.7
13;Liberalised rental;2018;3.1;2.0
14;Liberalised rental;2019;3.3;2.6
15;Liberalised rental;2020;3.0;2.1
16;Liberalised rental;2021;2.2;1.3
17;Liberalised rental;2022;3.8;2.8
18;Liberalised rental;2023;4.5;3.4
19;Liberalised rental;2024;5.0;4.1
20;"Total; regulated";2015;2.6;2.0
21;"Total; regulated";2016;1.8;1.3
22;"Total; regulated";2017;1.4;1.0
23;"Total; regulated";2018;2.1;1.8
24;"Total; regulated";2019;2.3;2.0
25;"Total; regulated";2020;2.8;2.4
26;"Total; regulated";2021;0.3;-0.1
27;"Total; regulated";2022;2.6;2.2
28;"Total; regulated";2023;1.0;0.5
29;"Total; regulated";2024;5.6;5.0
30;"Social landlords; regulated";2015;2.6;1.9
31;"Social landlords; regulated";2016;1.6;1.0
32;"Social landlords; regulated";2017;1.1;0.6
33;"Social landlords; regulated";2018;1.7;1.4
34;"Social landlords; regulated";2019;2.0;1.7
35;"Social landlords; regulated";2020;2.7;2.3
36;"Social landlords; regulated";2021;0.3;-0.1
37;"Social landlords; regulated";2022;2.6;2.2
38;"Social landlords; regulated";2023;0.1;-0.3
39;"Social landlords; regulated";2024;5.6;4.9
40;"Other landlords; regulated";2015;2.6;2.4
41;"Other landlords; regulated";2016;2.3;2.0
42;"Other landlords; regulated";2017;2.5;2.3
43;"Other landlords; regulated";2018;3.3;2.9
44;"Other landlords; regulated";2019;3.3;3.0
45;"Other landlords; regulated";2020;3.4;3.0
46;"Other landlords; regulated";2021;0.3;0.2
47;"Other landlords; regulated";2022;2.8;2.4
48;"Other landlords; regulated";2023;3.7;3.0
49;"Other landlords; regulated";2024;5.7;5.2
