ID;GeslachtWerknemer;Dienstverband;CaoSector;KenmerkenBaan;Perioden;Banen_1;Arbeidsvolume_2;Uurloon_3;MaandloonInclusiefOverwerk_4;MaandloonExclusiefOverwerk_5;JaarloonInclusiefBijzondereBeloning_6;JaarloonExclusiefBijzondereBeloning_7;BijzondereBeloning_8;BijtellingAutoVanDeZaak_9;PerBaanPerWeekInclusiefOverwerk_10;PerBaanPerWeekExclusiefOverwerk_11;PerBaanPerJaar_12;PerArbeidsjaar_13
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2009;7820.0;5925.0;20.02;2225.0;2195.0;30650.0;26710.0;3940.0;510.0;29.1;28.8;1315.0;1736.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2010 voor methodewijziging;7774.0;5870.0;20.39;2245.0;2214.0;30960.0;26940.0;4020.0;490.0;29.0;28.6;1303.0;1725.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2010 na methodewijziging;7860.0;5924.0;20.41;2245.0;2214.0;30990.0;26940.0;4050.0;500.0;28.9;28.5;1301.0;1727.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2011;7926.0;5926.0;20.62;2266.0;2234.0;31340.0;27200.0;4140.0;470.0;28.7;28.3;1300.0;1739.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2012;7872.0;5868.0;21.16;2302.0;2271.0;31740.0;27630.0;4120.0;480.0;28.6;28.3;1288.0;1728.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2013;7746.0;5773.0;21.48;2337.0;2306.0;32430.0;28050.0;4380.0;460.0;28.8;28.4;1288.0;1729.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2014;7706.0;5740.0;21.58;2359.0;2328.0;32590.0;28310.0;4270.0;430.0;28.8;28.4;1294.0;1738.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2015;7783.0;5794.0;22.08;2405.0;2373.0;33200.0;28860.0;4340.0;390.0;28.8;28.4;1290.0;1732.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2016;7893.0;5902.0;22.13;2436.0;2404.0;33730.0;29230.0;4500.0;390.0;29.0;28.6;1303.0;1743.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2017;8096.0;6045.0;22.23;2460.0;2427.0;34090.0;29520.0;4570.0;400.0;29.0;28.7;1310.0;1754.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2018;8324.0;6237.0;22.69;2508.0;2474.0;34670.0;30090.0;4580.0;420.0;29.1;28.8;1309.0;1747.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2019;8501.0;6381.0;23.14;2575.0;2543.0;35630.0;30900.0;4740.0;440.0;29.2;28.9;1318.0;1756.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2020;8391.0;6356.0;24.07;2692.0;2663.0;37280.0;32310.0;4970.0;470.0;29.5;29.2;1328.0;1753.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2021;8561.0;6507.0;24.45;2761.0;2730.0;38380.0;33130.0;5250.0;470.0;29.5;29.2;1340.0;1763.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal baan;2022;8868.0;6723.0;25.32;2852.0;2822.0;39940.0;34230.0;5710.0;480.0;29.5;29.2;1337.0;1764.0
