ID;AlleSectoren;Perioden;TotaalWerknemers_1;Voltijdwerknemers_2;Deeltijdwerknemers_3;Mannen_4;Vrouwen_5;GemiddeldContractueelLoon_6;GemiddeldeLeeftijdWerknemers_7
0;Totaal sector gemeente;1997;170.3;120.2;50.1;112.8;57.6;2175.0;42.3
1;Totaal sector gemeente;1998;172.8;121.6;51.2;113.5;59.3;2236.0;42.6
2;Totaal sector gemeente;1999;175.0;121.7;53.2;113.4;61.6;2320.0;43.0
3;Totaal sector gemeente;2000;177.3;118.6;58.7;112.8;64.4;2424.0;43.3
4;Totaal sector gemeente;2001;187.8;122.5;65.3;116.9;70.9;2522.0;43.2
5;Totaal sector gemeente;2002;193.1;124.2;68.9;118.8;74.3;2648.0;43.3
6;Totaal sector gemeente;2003;197.5;125.0;72.5;119.9;77.6;2729.0;43.6
7;Totaal sector gemeente;2004;192.5;120.2;72.3;115.5;77.0;2780.0;44.0
8;Totaal sector gemeente;2005;185.6;114.3;71.3;109.8;75.8;2830.0;44.1
9;Gemeente met < 14000 inwoners;1997;16.8;11.7;5.1;11.0;5.8;2112.0;42.5
10;Gemeente met < 14000 inwoners;1998;14.7;10.0;4.7;9.4;5.3;2176.0;42.7
11;Gemeente met < 14000 inwoners;1999;15.0;10.1;5.0;9.5;5.5;2258.0;43.1
12;Gemeente met < 14000 inwoners;2000;14.9;9.5;5.4;9.2;5.6;2344.0;43.6
13;Gemeente met < 14000 inwoners;2001;12.9;7.9;5.0;7.9;5.0;2493.0;43.8
14;Gemeente met < 14000 inwoners;2002;13.1;7.9;5.2;7.9;5.2;2637.0;43.9
15;Gemeente met < 14000 inwoners;2003;12.8;7.6;5.3;7.6;5.2;2681.0;44.1
16;Gemeente met < 14000 inwoners;2004;12.5;7.2;5.2;7.3;5.1;2734.0;44.4
17;Gemeente met < 14000 inwoners;2005;11.1;6.3;4.8;6.4;4.7;2789.0;44.4
18;Gemeente met 14000 - < 40000 inwoners;1997;42.8;29.6;13.2;28.1;14.8;2140.0;42.2
19;Gemeente met 14000 - < 40000 inwoners;1998;45.0;30.9;14.1;29.1;15.9;2214.0;42.6
20;Gemeente met 14000 - < 40000 inwoners;1999;45.4;30.7;14.8;28.8;16.7;2290.0;42.9
21;Gemeente met 14000 - < 40000 inwoners;2000;46.1;29.6;16.6;28.6;17.5;2386.0;43.2
22;Gemeente met 14000 - < 40000 inwoners;2001;46.5;28.7;17.8;28.3;18.1;2514.0;43.4
23;Gemeente met 14000 - < 40000 inwoners;2002;47.9;28.7;19.2;28.9;19.1;2638.0;43.5
24;Gemeente met 14000 - < 40000 inwoners;2003;48.2;28.2;20.0;28.6;19.6;2716.0;43.7
25;Gemeente met 14000 - < 40000 inwoners;2004;47.6;27.6;20.0;27.8;19.7;2769.0;44.1
26;Gemeente met 14000 - < 40000 inwoners;2005;45.4;25.8;19.6;26.1;19.3;2818.0;44.3
27;Gemeente met 40000 - < 100000 inwoners;1997;31.5;22.1;9.4;20.4;11.1;2210.0;42.7
28;Gemeente met 40000 - < 100000 inwoners;1998;30.6;21.4;9.2;19.7;10.9;2276.0;43.1
29;Gemeente met 40000 - < 100000 inwoners;1999;31.4;21.7;9.7;20.0;11.4;2361.0;43.3
30;Gemeente met 40000 - < 100000 inwoners;2000;31.9;20.7;11.2;19.8;12.0;2442.0;43.6
31;Gemeente met 40000 - < 100000 inwoners;2001;36.7;23.5;13.2;22.4;14.3;2550.0;43.8
32;Gemeente met 40000 - < 100000 inwoners;2002;39.2;24.5;14.7;23.5;15.7;2692.0;43.8
33;Gemeente met 40000 - < 100000 inwoners;2003;42.3;26.4;15.9;25.1;17.2;2772.0;44.0
34;Gemeente met 40000 - < 100000 inwoners;2004;41.8;25.7;16.1;24.6;17.2;2814.0;44.3
35;Gemeente met 40000 - < 100000 inwoners;2005;42.0;25.4;16.6;24.2;17.7;2854.0;44.3
36;Gemeente met 100000 - < 375000 inwoners;1997;34.8;23.3;11.5;22.5;12.3;2281.0;42.5
37;Gemeente met 100000 - < 375000 inwoners;1998;37.2;25.2;11.9;23.8;13.3;2339.0;42.8
38;Gemeente met 100000 - < 375000 inwoners;1999;37.3;25.2;12.1;23.6;13.7;2430.0;43.1
39;Gemeente met 100000 - < 375000 inwoners;2000;38.0;24.2;13.8;23.6;14.4;2552.0;43.2
40;Gemeente met 100000 - < 375000 inwoners;2001;40.6;25.9;14.7;24.6;16.0;2677.0;43.2
41;Gemeente met 100000 - < 375000 inwoners;2002;40.9;25.9;15.0;24.5;16.4;2786.0;43.3
42;Gemeente met 100000 - < 375000 inwoners;2003;41.5;25.8;15.7;24.5;16.9;2867.0;43.5
43;Gemeente met 100000 - < 375000 inwoners;2004;40.2;24.7;15.6;23.5;16.8;2935.0;43.9
44;Gemeente met 100000 - < 375000 inwoners;2005;38.5;23.2;15.3;22.1;16.4;2985.0;44.0
45;Gemeente met >= 375000 inwoners;1997;44.4;33.5;10.9;30.7;13.7;2126.0;41.8
46;Gemeente met >= 375000 inwoners;1998;45.4;34.0;11.4;31.4;14.0;2166.0;42.2
47;Gemeente met >= 375000 inwoners;1999;45.8;34.1;11.7;31.5;14.3;2252.0;42.7
48;Gemeente met >= 375000 inwoners;2000;46.4;34.6;11.7;31.5;14.9;2370.0;43.0
49;Gemeente met >= 375000 inwoners;2001;51.1;36.6;14.6;33.7;17.5;2393.0;42.5
50;Gemeente met >= 375000 inwoners;2002;52.0;37.2;14.8;34.0;17.9;2520.0;42.8
51;Gemeente met >= 375000 inwoners;2003;52.7;37.0;15.7;34.1;18.6;2609.0;43.0
52;Gemeente met >= 375000 inwoners;2004;50.5;35.0;15.5;32.3;18.2;2648.0;43.5
53;Gemeente met >= 375000 inwoners;2005;48.7;33.6;15.0;30.9;17.8;2706.0;43.8
54;Provinciale overheid;1997;12.4;9.1;3.3;8.6;3.8;2483.0;43.6
55;Provinciale overheid;1998;12.6;9.3;3.3;8.6;4.0;2551.0;44.0
56;Provinciale overheid;1999;12.8;9.3;3.5;8.7;4.1;2627.0;44.3
