ID;Geslacht;Leeftijd;Herkomstland;Geboorteland;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2024;17951318.0
1;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2025;18069157.0
2;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2026;18170503.0
3;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2027;18255644.0
4;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2028;18332849.0
5;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2029;18402261.0
6;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2030;18474559.0
7;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2031;18548219.0
8;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2032;18623058.0
9;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2033;18698393.0
10;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2034;18773323.0
11;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2035;18846704.0
12;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2036;18918982.0
13;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2037;18989468.0
14;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2038;19057687.0
15;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2039;19123283.0
16;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2040;19186083.0
17;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2041;19246140.0
18;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2042;19303543.0
19;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2043;19358457.0
20;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2044;19410963.0
21;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2045;19461279.0
22;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2046;19509400.0
23;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2047;19555567.0
24;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2048;19599911.0
25;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2049;19642529.0
26;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2050;19683506.0
27;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2051;19722990.0
28;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2052;19761054.0
29;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2053;19797968.0
30;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2054;19834060.0
31;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2055;19869698.0
32;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2056;19905224.0
33;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2057;19941055.0
34;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2058;19977655.0
35;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2059;20015527.0
36;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2060;20055186.0
37;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2061;20097074.0
38;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2062;20141699.0
39;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2063;20189388.0
40;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2064;20240416.0
41;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2065;20294942.0
42;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2066;20352874.0
43;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2067;20414116.0
44;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2068;20478384.0
45;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2069;20545262.0
46;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2070;20614380.0
47;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Geboren in Nederland;2024;15030275.0
