ID;Geslacht;Leeftijd;Herkomst;Generatie;PercentageAOWOpbouw;Perioden;AantalZelfstandigen_1;OpgebouwdeJaarlijkseAanspraken_2;ContanteWaarde_3;TeBereikenJaarlijkseAanspraken_4;Vervangingspercentage_5;OpgebouwdeJaarlijkseAanspraken_6;ContanteWaarde_7;TeBereikenJaarlijkseAanspraken_8;Vervangingspercentage_9;VierdePijler_10;OpgebouwdeJaarlijkseAanspraken_11;ContanteWaarde_12;TeBereikenJaarlijkseAanspraken_13;Vervangingspercentage_14
0;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Totaal alle AOW percentages;2005;622650.0;4800.0;28800.0;8400.0;27.0;1800.0;11100.0;2400.0;8.0;66.0;6600.0;39900.0;10800.0;35.0
1;Totaal mannen en vrouwen;0;0;Totaal alle generaties;Minder dan 70% AOW opbouw;2005;38450.0;2400.0;14300.0;6100.0;22.0;1700.0;12300.0;2400.0;8.0;44.0;4100.0;26600.0;8500.0;30.0
2;Totaal mannen en vrouwen;0;0;Totaal alle generaties;70% tot 95% AOW opbouw;2005;27650.0;4400.0;27300.0;7900.0;26.0;1800.0;12100.0;2400.0;8.0;53.0;6200.0;39400.0;10300.0;34.0
3;Totaal mannen en vrouwen;0;0;Totaal alle generaties;95% of meer AOW opbouw;2005;556550.0;5000.0;29900.0;8600.0;27.0;1800.0;11000.0;2400.0;8.0;68.0;6800.0;40900.0;11000.0;35.0
4;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Totaal alle AOW percentages;2005;52000.0;3200.0;17400.0;7300.0;30.0;1100.0;6900.0;1500.0;6.0;39.0;4300.0;24300.0;8800.0;36.0
5;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;Minder dan 70% AOW opbouw;2005;25950.0;2200.0;11500.0;6200.0;28.0;700.0;4200.0;1000.0;5.0;34.0;2900.0;15700.0;7200.0;33.0
6;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;70% tot 95% AOW opbouw;2005;12050.0;4200.0;25900.0;7700.0;31.0;1500.0;10100.0;1800.0;7.0;47.0;5700.0;36000.0;9500.0;38.0
7;Totaal mannen en vrouwen;0;0;Eerste generatie allochtonen;95% of meer AOW opbouw;2005;14000.0;4200.0;21100.0;8900.0;31.0;1500.0;9200.0;2000.0;7.0;42.0;5700.0;30300.0;10900.0;38.0
8;Totaal mannen en vrouwen;0;0;Tweede generatie allochtonen;Totaal alle AOW percentages;2005;35550.0;4700.0;27500.0;8700.0;26.0;2100.0;13700.0;2800.0;8.0;56.0;6800.0;41200.0;11500.0;34.0
9;Totaal mannen en vrouwen;0;0;Tweede generatie allochtonen;Minder dan 70% AOW opbouw;2005;1400.0;3000.0;19500.0;6000.0;13.0;4200.0;31000.0;5500.0;12.0;62.0;7200.0;50500.0;11500.0;25.0
