ID;KenmerkenWerknemer;BedrijfstakkenBranchesSBI2008;Perioden;TotaalBanen_1;Minimumloon_2;k_105Minimumloon_3;k_110Minimumloon_4;k_115Minimumloon_5;k_120Minimumloon_6;k_130Minimumloon_7;TotaalArbeidsvolume_8;Minimumloon_9;k_105Minimumloon_10;k_110Minimumloon_11;k_115Minimumloon_12;k_120Minimumloon_13;k_130Minimumloon_14
0;Totaal;A-U Alle economische activiteiten;2009;7818.7;478.4;639.7;826.7;1021.3;1251.8;1734.8;5923.1;275.3;365.2;474.2;590.9;730.1;1035.0
1;Totaal;A-U Alle economische activiteiten;2010;7859.8;512.6;692.6;891.0;1089.7;1339.4;1808.1;5924.0;302.2;404.0;521.2;640.8;789.4;1088.6
2;Totaal;A-U Alle economische activiteiten;2011;7926.8;506.0;690.2;894.4;1095.0;1347.0;1821.3;5925.7;290.7;395.8;514.6;633.9;782.8;1080.8
3;Totaal;A-U Alle economische activiteiten;2012;7872.1;490.6;685.6;893.5;1088.7;1334.8;1800.7;5866.5;277.3;388.8;507.5;622.1;764.8;1053.1
4;Totaal;A-U Alle economische activiteiten;2013;7745.8;463.9;668.9;867.5;1061.8;1301.6;1764.3;5773.2;273.8;392.7;505.4;617.4;755.6;1039.9
5;Totaal;A-U Alle economische activiteiten;2014;7706.0;490.5;712.2;924.9;1128.1;1361.7;1821.2;5740.5;285.8;415.0;534.2;655.8;790.5;1073.6
6;Totaal;A-U Alle economische activiteiten;2015;7782.5;488.3;709.7;928.8;1133.9;1368.3;1830.4;5794.2;287.1;416.4;538.1;658.0;794.7;1076.7
7;Totaal;A-U Alle economische activiteiten;2016;7892.5;517.0;759.6;985.5;1206.0;1447.1;1949.4;5902.1;305.9;447.2;573.4;704.5;844.5;1144.7
8;Totaal;A-U Alle economische activiteiten;2017;8096.0;507.7;792.6;1069.1;1308.3;1567.4;2110.1;6045.1;298.7;459.1;607.1;750.2;900.2;1229.7
9;Totaal;A-U Alle economische activiteiten;2018;8324.2;515.8;798.6;1099.4;1359.7;1628.3;2204.2;6236.5;301.1;458.9;620.7;775.8;933.2;1283.7
10;Totaal;A-U Alle economische activiteiten;2019;8500.5;490.6;776.7;1085.8;1367.6;1645.9;2233.8;6381.3;283.7;449.1;614.5;780.6;945.3;1305.2
11;Totaal;A-U Alle economische activiteiten;2020;8390.8;438.4;697.9;981.4;1256.6;1529.8;2088.5;6356.3;261.4;411.1;566.2;725.1;888.6;1232.5
12;Totaal;A-U Alle economische activiteiten;2021;8561.0;438.7;693.3;981.5;1249.3;1524.0;2107.6;6506.8;267.4;414.0;569.9;727.7;892.8;1248.0
13;Totaal;A-U Alle economische activiteiten;2022;8867.9;401.0;609.9;872.4;1133.0;1396.2;1997.5;6722.5;247.9;369.6;513.6;667.7;825.7;1187.9
14;Totaal;A-U Alle economische activiteiten;2023;8979.3;473.8;753.8;1064.2;1373.3;1709.7;2339.4;6825.7;290.7;460.8;642.9;831.3;1036.0;1439.5
15;Totaal;A-F Landbouw en nijverheid;2009;1343.3;48.9;71.5;96.7;120.6;153.2;216.2;1189.1;35.5;51.8;70.6;88.5;113.7;163.0
16;Totaal;A-F Landbouw en nijverheid;2010;1322.2;50.4;76.5;102.7;127.7;160.3;221.5;1169.9;36.8;55.6;75.4;94.3;119.3;167.0
17;Totaal;A-F Landbouw en nijverheid;2011;1312.7;51.8;78.3;104.9;129.1;162.0;220.3;1157.4;37.3;56.6;76.7;94.8;120.0;164.8
18;Totaal;A-F Landbouw en nijverheid;2012;1290.0;49.1;80.3;104.9;127.0;158.3;214.7;1136.1;34.8;58.3;77.0;93.2;117.2;160.4
