ID;Geslacht;Persoonskenmerken;MboSectoren;MaatschappelijkePositie1JaarEerder;Perioden;InstromersTotaal_1;Entreeopleiding_2;Niveau2_3;Niveau3_4;Niveau4_5;BeroepsopleidendeLeerwegBol_6;BeroepsbegeleidendeLeerwegBbl_7;BolEntreeopleiding_8;BolNiveau2_9;BolNiveau3_10;BolNiveau4_11;BblEntreeopleiding_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2009/'10;157759.0;18928.0;52448.0;31540.0;54843.0;103536.0;54223.0;7957.0;26060.0;21153.0;48366.0;10971.0;26388.0;10387.0;6477.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2010/'11;146528.0;18469.0;44449.0;29939.0;53671.0;101998.0;44530.0;7735.0;24342.0;21238.0;48683.0;10734.0;20107.0;8701.0;4988.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2011/'12;140271.0;16756.0;43365.0;28016.0;52134.0;99225.0;41046.0;7908.0;22412.0;20738.0;48167.0;8848.0;20953.0;7278.0;3967.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2012/'13;136214.0;16441.0;39274.0;26956.0;53543.0;100634.0;35580.0;8376.0;22602.0;19877.0;49779.0;8065.0;16672.0;7079.0;3764.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2013/'14;123002.0;11002.0;32657.0;23066.0;56277.0;103611.0;19391.0;7892.0;23177.0;18902.0;53640.0;3110.0;9480.0;4164.0;2637.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2014/'15;120357.0;9386.0;29610.0;21828.0;59533.0;103859.0;16498.0;7031.0;21722.0;17685.0;57421.0;2355.0;7888.0;4143.0;2112.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2015/'16;121051.0;9296.0;28889.0;22909.0;59957.0;104367.0;16684.0;7170.0;21028.0;18194.0;57975.0;2126.0;7861.0;4715.0;1982.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2016/'17;127451.0;10108.0;28330.0;24544.0;64469.0;107247.0;20204.0;8016.0;20095.0;17784.0;61352.0;2092.0;8235.0;6760.0;3117.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2017/'18;131203.0;12196.0;28137.0;24494.0;66376.0;109733.0;21470.0;9862.0;19939.0;16966.0;62966.0;2334.0;8198.0;7528.0;3410.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal instromers;2018/'19;133925.0;13369.0;27791.0;23102.0;69663.0;109038.0;24887.0;10400.0;18490.0;14758.0;65390.0;2969.0;9301.0;8344.0;4273.0
