ID;Geslacht;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;KorterDan1Jaar_2;KorterDanEenHalfJaar_3;k_6Tot12Maanden_4;LangerDan1Jaar_5;k_1Tot5Jaar_6;k_1Tot2Jaar_7;k_2Tot5Jaar_8;k_5Tot10Jaar_9;k_10Tot20Jaar_10;k_20JaarOfLanger_11;LangerDan1JaarExacteDuurOnbekend_12;Onbekend_13;GemiddeldeAncienniteit_14
0;Totaal mannen en vrouwen;Totaal personen;2011 1e kwartaal;8232;1191;669;522;7039;2554;752;1802;1503;1605;1318;59;2;9.6
1;Totaal mannen en vrouwen;Totaal personen;2011 2e kwartaal;8259;1232;670;562;7027;2532;777;1754;1492;1618;1330;55;0;9.6
2;Totaal mannen en vrouwen;Totaal personen;2011 3e kwartaal;8301;1262;719;543;7038;2502;753;1749;1395;1699;1384;58;1;9.6
3;Totaal mannen en vrouwen;Totaal personen;2011 4e kwartaal;8327;1245;713;532;7082;2490;757;1732;1472;1698;1360;63;1;9.6
4;Totaal mannen en vrouwen;Totaal personen;2011;8280;1232;693;540;7046;2519;760;1759;1466;1655;1348;59;1;9.6
5;Totaal mannen en vrouwen;Totaal personen;2012 1e kwartaal;8283;1194;652;542;7088;2496;772;1723;1531;1664;1339;60;1;9.7
6;Totaal mannen en vrouwen;Totaal personen;2012 2e kwartaal;8327;1196;610;585;7130;2502;805;1697;1540;1690;1338;60;1;9.7
7;Totaal mannen en vrouwen;Totaal personen;2012 3e kwartaal;8368;1209;679;529;7159;2449;781;1668;1478;1781;1391;60;0;9.7
8;Totaal mannen en vrouwen;Totaal personen;2012 4e kwartaal;8341;1177;673;504;7159;2423;755;1668;1536;1731;1385;84;6;9.8
9;Totaal mannen en vrouwen;Totaal personen;2012;8330;1194;654;540;7134;2467;778;1689;1521;1716;1363;66;2;9.7
10;Totaal mannen en vrouwen;Totaal personen;2013 1e kwartaal;8259;1125;604;521;7122;2377;768;1609;1559;1712;1370;104;11;9.9
