ID;Populatie;Geslacht;Persoonskenmerken;Marges;Perioden;Verkeersdeelname_1;GebruikVanHetOpenbaarVervoer_2
0;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Waarde;2018;82.9;8.6
1;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Waarde;2019;81.9;8.6
2;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Waarde;2020;73.8;3.9
3;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Waarde;2021;78.1;4.2
4;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Waarde;2022;79.7;6.1
5;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Waarde;2023;80.4;7.0
6;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Ondergrens 95%-interval;2018;82.5;8.3
7;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Ondergrens 95%-interval;2019;81.5;8.3
8;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Ondergrens 95%-interval;2020;73.4;3.8
9;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Ondergrens 95%-interval;2021;77.8;4.1
10;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Ondergrens 95%-interval;2022;79.3;5.9
11;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Ondergrens 95%-interval;2023;80.0;6.8
12;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Bovengrens 95%-interval;2018;83.3;8.9
13;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Bovengrens 95%-interval;2019;82.4;8.8
14;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Bovengrens 95%-interval;2020;74.2;4.1
15;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Bovengrens 95%-interval;2021;78.5;4.4
16;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Bovengrens 95%-interval;2022;80.2;6.3
17;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Totaal personen;Bovengrens 95%-interval;2023;80.8;7.2
18;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Waarde;2018;90.6;2.1
19;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Waarde;2019;88.9;1.6
20;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Waarde;2020;80.0;
21;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Waarde;2021;85.6;
22;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Waarde;2022;85.2;1.6
23;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Waarde;2023;85.8;2.0
24;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Ondergrens 95%-interval;2018;89.4;1.6
25;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Ondergrens 95%-interval;2019;87.4;1.2
26;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Ondergrens 95%-interval;2020;78.5;
27;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Ondergrens 95%-interval;2021;84.3;
28;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Ondergrens 95%-interval;2022;83.4;1.2
29;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Ondergrens 95%-interval;2023;84.2;1.5
30;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Bovengrens 95%-interval;2018;91.6;2.7
31;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Bovengrens 95%-interval;2019;90.3;2.1
32;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Bovengrens 95%-interval;2020;81.4;
33;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Bovengrens 95%-interval;2021;86.9;
34;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Bovengrens 95%-interval;2022;86.8;2.2
35;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd:6 tot 12 jaar;Bovengrens 95%-interval;2023;87.3;2.6
36;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Waarde;2018;86.3;11.7
37;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Waarde;2019;86.4;10.7
38;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Waarde;2020;73.5;6.3
39;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Waarde;2021;79.0;6.3
40;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Waarde;2022;82.9;9.2
41;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Waarde;2023;83.6;9.4
42;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Ondergrens 95%-interval;2018;85.0;10.7
43;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Ondergrens 95%-interval;2019;84.9;9.7
44;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Ondergrens 95%-interval;2020;72.0;5.5
45;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Ondergrens 95%-interval;2021;77.6;5.5
46;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Ondergrens 95%-interval;2022;81.3;8.3
47;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Ondergrens 95%-interval;2023;82.2;8.5
48;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Bovengrens 95%-interval;2018;87.5;12.7
49;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Bovengrens 95%-interval;2019;87.8;11.9
50;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Bovengrens 95%-interval;2020;75.0;7.1
51;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Bovengrens 95%-interval;2021;80.3;7.1
52;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Bovengrens 95%-interval;2022;84.4;10.2
53;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 12 tot 18 jaar;Bovengrens 95%-interval;2023;85.0;10.4
54;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Waarde;2018;86.8;23.8
55;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Waarde;2019;84.6;24.0
56;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Waarde;2020;74.6;11.9
57;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Waarde;2021;78.3;14.5
58;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Waarde;2022;81.2;18.4
59;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Waarde;2023;81.3;20.7
60;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Ondergrens 95%-interval;2018;85.4;22.5
61;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Ondergrens 95%-interval;2019;83.1;22.6
62;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Ondergrens 95%-interval;2020;73.2;11.0
63;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Ondergrens 95%-interval;2021;77.0;13.6
64;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Ondergrens 95%-interval;2022;79.8;17.3
65;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Ondergrens 95%-interval;2023;80.0;19.5
66;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Bovengrens 95%-interval;2018;88.0;25.2
67;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Bovengrens 95%-interval;2019;86.0;25.4
68;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Bovengrens 95%-interval;2020;75.9;12.8
69;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Bovengrens 95%-interval;2021;79.4;15.5
70;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Bovengrens 95%-interval;2022;82.5;19.5
71;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;Bovengrens 95%-interval;2023;82.7;21.9
72;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Waarde;2018;88.6;13.4
73;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Waarde;2019;86.6;13.4
74;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Waarde;2020;77.2;6.0
75;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Waarde;2021;80.3;6.5
76;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Waarde;2022;81.3;9.6
77;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Waarde;2023;82.9;10.7
78;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2018;87.6;12.5
79;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2019;85.5;12.5
80;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2020;76.2;5.4
81;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2021;79.4;6.0
82;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2022;80.2;8.9
83;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2023;81.8;10.0
84;Populatie: 6 jaar of ouder;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2018;89.6;14.3
