ID;SBI;TotalePersoneelskosten_1;LonenEnSalarissen_2;SocialeLasten_3;Pensioenlasten_4;KostenUitzendkrachten_5;OverigePersoneelskosten_6;OntvangenLoonsubsidiesED_7
0;512 t/m 517 Totaal Groothandel;12.2;72.3;9.9;4.6;8.2;5.8;0.8
1;512,5151/2/5-7  Grondstoffen en halffabr;1.7;74.3;10.1;5.4;6.7;5.1;1.6
2;512 Landbouwproducten en levende dieren;0.7;74.9;10.3;5.1;6.9;4.6;1.9
3;5151/2/5-7 Ov. grondstoffen en halffabr.;1.0;73.9;9.9;5.5;6.5;5.4;1.3
4;513,514,51715,5172 Consumentengoederen;4.3;72.4;10.0;4.4;8.4;5.7;0.8
5;513  Voedings- en genotmiddelen;1.8;70.5;10.4;3.8;11.1;5.0;0.8
6;514,51715,5172 Non-food consumentengoed.;2.5;73.6;9.7;4.8;6.4;6.2;0.8
7;5153 en 5154 Bouwmaterialen;1.3;74.6;11.9;5.4;3.6;5.3;0.8
8;5153 Hout en bouwmaterialen;1.0;74.6;12.0;5.3;3.6;5.3;0.9
9;5154 IJzer- en metaalwaren;0.3;74.6;11.6;5.6;3.3;5.4;0.4
10;516, 51711-51714 Kapitaalgoederen;4.9;70.9;9.3;4.3;9.8;6.3;0.5
11;516 Machines, apparaten en toebehoren;4.5;70.8;9.2;4.2;10.0;6.4;0.5
12;51711-51714 Bedrijfsmeubels,emballage;0.3;73.5;10.1;5.7;6.3;5.4;1.0
