ID;Geslacht;Onderwijssoort;Leeftijd;VerdachtVanMisdrijf;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVsvErsOnderzoekspopulatie_2;AantalNietVsvErsOnderzoekspopulatie_3;PercentageVsvErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2009/'10;1446080.0;65350.0;1380740.0;4.5
6;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2010/'11;1458660.0;66640.0;1392020.0;4.6
7;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2011/'12;1455290.0;60360.0;1394930.0;4.1
8;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2012/'13 Oude methode;1454220.0;52820.0;1401400.0;3.6
9;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2012/'13 Nieuwe methode;1448020.0;48200.0;1399820.0;3.3
10;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2013/'14;1447970.0;43880.0;1404090.0;3.0
11;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;2014/'15;1440950.0;36230.0;1404710.0;2.5
12;Totaal mannen en vrouwen;0;0;Niet verdacht van misdrijf;2004/'05;1249460.0;65670.0;1183790.0;5.3
13;Totaal mannen en vrouwen;0;0;Niet verdacht van misdrijf;2005/'06;1336280.0;62810.0;1273470.0;4.7
14;Totaal mannen en vrouwen;0;0;Niet verdacht van misdrijf;2006/'07;1348270.0;59740.0;1288530.0;4.4
15;Totaal mannen en vrouwen;0;0;Niet verdacht van misdrijf;2007/'08;1357920.0;58540.0;1299380.0;4.3
16;Totaal mannen en vrouwen;0;0;Niet verdacht van misdrijf;2008/'09;1357950.0;52170.0;1305780.0;3.8
17;Totaal mannen en vrouwen;0;0;Niet verdacht van misdrijf;2009/'10;1371780.0;53570.0;1318210.0;3.9
18;Totaal mannen en vrouwen;0;0;Niet verdacht van misdrijf;2010/'11;1390060.0;55380.0;1334690.0;4.0
