ID;BedrijfstakkenBranchesSBI2008;Perioden;AantalMiddelgrEnGroteOndernemingen_1;TotaalBedrijfsopbrengsten_2;TotaalNettoOmzet_3;OpbrengstenWlz_4;TotaalOpbrengstenZvw_5;OpbrengstenDBCS_6;OpbrengstenOverigeZvwZorg_7;OpbrengstenWmo_8;OpbrengstenJeugdwet_9;TotaalOverigeNettoOmzet_10;OverigeZorgprestaties_11;OverigeDienstverlening_12;TotaalOverigeBedrijfsopbrengsten_13;SubsidiesExclWmoEnJeugdwet_14;NietEerderGenoemdeBedrijfsopbrengsten_15;TotaalBedrijfskosten_16;TotaalArbeidskosten_17;LonenEnSalarissen_18;PensioenlastenEnSocialeLasten_19;HonorariumkostenVrijgevMedSpec_20;AfschrijvingenOpVasteActiva_21;BijzondereWaardeverminderingen_22;TotaalOverigeBedrijfskosten_23;TotaalOverigePersoneelskosten_24;KostenUitzendkrachtenEnOverigeInleen_25;NietEerderGenoemdePersoneelskosten_26;TotaalNietEerderGenoemdeBedrKosten_27;VoedingEnHotelmatigeKosten_28;AlgemeneKosten_29;ClientEnBewonersgebondenKosten_30;OnderhoudsEnEnergiekosten_31;HuurOperationeleLeasingKapGoederen_32;AndereBedrijfskosten_33;Bedrijfsresultaat_34;FinancieleBaten_35;FinancieleLasten_36;FinancieelResultaat_37;BuitengewoneBaten_38;BuitengewoneLasten_39;BuitengewoonResultaat_40;ResultaatVoorBelastingen_41;TotaalActiva_42;ImmaterieleVasteActiva_43;MaterieleVasteActiva_44;TotaalFinancieleVasteActiva_45;Deelnemingen_46;OverigeLanglopendeVorderingen_47;TotaalVoorradenEnOnderhandenWerk_48;Voorraden_49;OnderhandenWerkDBCS_50;TotaalKortlopendeVorderingen_51;VorderingenOpDebiteuren_52;VorderingenUHVBekostiging_53;OverigeKortlopendeVorderingen_54;Effecten_55;LiquideMiddelen_56;TotaalPassiva_57;EigenVermogen_58;Voorzieningen_59;LanglopendeSchulden_60;TotaalKortlopendeSchulden_61;SchuldenAanKredietinstellingen_62;Crediteuren_63;AflossingsverplichtingLanglopLening_64;SchuldenUHVBekostiging_65;OverigeKortlopendeSchulden_66;BoekwaardePer1Januari_67;Investeringen_68;Herwaarderingen_69;Desinvesteringen_70;Afschrijvingen_71;BijzondereWaardeverminderingen_72;TerugnameAfgeschrevenActiva_73;OverigeMutaties_74;BoekwaardePer31December_75;WettelijkBudgetVerslagjaar_76;OpbrengstenTerDekkingWettelijkBudg_77;FinancieringsverschilBudgetOpbrengsten_78;BanenWerknemers_79;ArbeidsjarenWerknemers_80;LonenInclBijzBeloningEnOverw_81;AantalKleineOndernemingen_82;BanenWerknemersKleineOnd_83;ArbeidsjarenWerknemersKleineOnd_84;LonenKleineOndIncBijzEnOverw_85;AantalZelfstandigenKleineOnd_86;WinstZelfstandigenKleineOnd_87
0;86101 Universitair medisch centra;2015;8;8128;5403;0;4453;4453.0;0.0;0.0;18.0;932;104;828;2725;2322;403;7810;4279;3463;816;2;448;14;3066;424;220;203;2642;150.0;519.0;1600.0;232;53;87.0;318;23;134;-111;1.0;0.0;1.0;208;8088;94;4644;95;46;49;182;79;103;1809;991;27.0;791;4;1259;8088;2072;732;2970;2314;37.0;296;132.0;53.0;1796;4546;608;1;13;464;13;20.0;;4644;0.0;0.0;0.0;75100;60600;3877;0.0;;;;;
1;86101 Universitair medisch centra;2016;8;8437;5513;0;4618;4618.0;0.0;0.0;18.0;877;122;755;2924;2370;554;8123;4385;3558;827;2;448;55;3235;467;256;211;2768;164.0;539.0;1727.0;200;53;85.0;314;20;128;-108;;;;206;8213;116;4665;118;49;69;309;85;224;1578;694;1.0;884;3;1424;8213;2228;758;2957;2271;26.0;314;150.0;5.0;1776;4564;608;0;12;442;53;0.0;;4665;0.0;0.0;0.0;75650;61250;4035;0.0;;;;;
2;86101 Universitair medisch centra;2017;8;8818;5872;0;4948;4948.0;0.0;0.0;19.0;905;127;778;2946;2421;526;8468;4654;3726;927;30;476;0;3308;484;278;207;2824;162.0;533.0;1787.0;185;55;101.0;350;11;133;-123;;;;228;8454;172;4851;95;43;52;419;95;324;1762;641;1.0;1120;3;1152;8454;2479;769;2905;2302;89.0;357;135.0;4.0;1716;4718;610;0;5;471;0;0.0;;4851;0.0;0.0;0.0;79750;64500;4230;0.0;;;;;
3;86101 Universitair medisch centra;2018;8;9058;6026;0;5046;;;0.0;19.0;961;149;812;3032;2470;562;8814;4829;3848;982;30;499;-15;3471;527;302;225;2944;170.0;577.0;1900.0;177;56;65.0;244;6;109;-103;;;;141;8657;167;4874;124;41;83;294;104;190;1851;577;1.0;1273;0;1347;8657;2784;586;3032;2255;43.0;330;163.0;2.0;1717;4824;556;0;24;497;-15;0.0;;4874;0.0;0.0;0.0;82450;66900;4432;0.0;;;;;
4;86101 Universitair medisch centra;2019;8;9544;6336;0;5265;;;0.0;20.0;1051;179;872;3208;2598;611;9360;5107;4034;1072;31;522;3;3697;534;331;203;3162;170.0;590.0;2075.0;198;58;72.0;184;6;101;-95;;;;90;8850;159;4847;240;47;193;337;114;222;1973;510;1.0;1462;0;1295;8850;2980;496;3146;2228;4.0;314;179.0;1.0;1729;4827;549;0;10;515;3;0.0;;4847;0.0;0.0;0.0;84200;68150;4641;0.0;;;;;
5;86101 Universitair medisch centra;2020;8;10134;6713;0;5584;;;0.0;20.0;1109;210;898;3421;2765;655;9974;5452;4314;1139;32;520;12;3958;609;358;251;3348;177.0;581.0;2252.0;198;59;80.0;160;7;96;-89;;;;71;9028;146;4866;231;52;179;335;135;199;2254;630;0.0;1624;36;1160;9028;3083;538;2917;2490;;307;;1.0;2183;4847;545;0;6;508;12;;-1.0;4866;0.0;0.0;0.0;85850;69600;4885;0.0;;;;;
6;86101 Universitair medisch centra;2021;7;10488;6922;0;5812;;;;;1090;243;848;3566;2873;693;10316;5693;4508;1185;33;533;20;4038;539;315;224;3499;184.0;656.0;2346.0;197;56;60.0;172;21;90;-68;;;;104;9299;132;4892;179;38;141;321;156;165;2423;624;0.0;1799;33;1319;9299;3177;541;2887;2693;;341;;38.0;2314;4875;561;0;11;513;20;;0.0;4892;3.0;3.0;0.0;88000;70850;5104;0.0;;;;;
7;86101 Universitair medisch centra;2022;7;10975;7307;0;6094;;;;;1196;312;884;3669;3028;640;10748;5947;4713;1234;33;542;4;4222;534;332;203;3688;179.0;642.0;2466.0;232;58;113.0;227;0;81;-81;;;;147;9640;112;4913;183;43;140;341;150;191;2507;624;;1883;35;1548;9640;3307;578;2853;2902;;385;;;2517;4892;580;0;13;532;4;;-9.0;4913;;;;88750;71200;5252;0.0;;;;;
8;86101 Universitair medisch centra;2023;7;11827;7903;0;6574;;;;;1311;369;942;3924;3316;608;11534;6373;5109;1264;34;555;15;4556;568;355;212;3988;196.0;725.0;2586.0;270;91;121.0;293;57;77;-20;;;;274;9989;109;5022;163;44;118;327;162;165;2376;680;;1696;27;1966;9989;3561;687;2772;2969;;371;;;2598;4913;680;0;15;540;15;;-1.0;5022;;;;89900;72300;5678;0.0;;;;;
9;86102 Algemene ziekenhuizen;2015;64;17536;16149;463;15076;14917.0;159.0;28.0;0.0;582;352;230;1387;715;672;16915;7866;6367;1499;1857;1130;23;6039;730;392;338;5309;451.0;938.0;3403.0;335;94;88.0;621;13;344;-330;9.0;3.0;6.0;297;16657;95;10671;177;55;122;246;213;33;3775;2248;84.0;1444;4;1688;16657;3707;864;7210;4877;264.0;678;644.0;134.0;3157;10731;1487;7;422;1097;32;2.0;;10671;446.0;443.0;3.0;192800;140600;7370;0.0;;;;;
