ID;LeeftijdVanDeMoederOp31December;HerkomstlandMoeder;GeboortelandMoeder;Perioden;LevendGeborenKinderen_1
0;Totaal;Totaal;Totaal moeders;2021;179441.0
1;Totaal;Totaal;Totaal moeders;2022;167504.0
2;Totaal;Totaal;Totaal moeders;2023;164487.0
3;Totaal;Totaal;Moeder geboren in Nederland;2021;143808.0
4;Totaal;Totaal;Moeder geboren in Nederland;2022;132685.0
5;Totaal;Totaal;Moeder geboren in Nederland;2023;129480.0
6;Totaal;Totaal;Moeder geboren buiten Nederland;2021;35633.0
7;Totaal;Totaal;Moeder geboren buiten Nederland;2022;34819.0
8;Totaal;Totaal;Moeder geboren buiten Nederland;2023;35007.0
9;Totaal;Nederland;Totaal moeders;2021;119953.0
10;Totaal;Nederland;Totaal moeders;2022;109931.0
11;Totaal;Nederland;Totaal moeders;2023;106958.0
12;Totaal;Nederland;Moeder geboren in Nederland;2021;119953.0
13;Totaal;Nederland;Moeder geboren in Nederland;2022;109931.0
14;Totaal;Nederland;Moeder geboren in Nederland;2023;106958.0
15;Totaal;Nederland;Moeder geboren buiten Nederland;2021;
16;Totaal;Nederland;Moeder geboren buiten Nederland;2022;
17;Totaal;Nederland;Moeder geboren buiten Nederland;2023;
18;Totaal;Buiten Nederland;Totaal moeders;2021;59488.0
19;Totaal;Buiten Nederland;Totaal moeders;2022;57573.0
20;Totaal;Buiten Nederland;Totaal moeders;2023;57529.0
21;Totaal;Buiten Nederland;Moeder geboren in Nederland;2021;23855.0
22;Totaal;Buiten Nederland;Moeder geboren in Nederland;2022;22754.0
23;Totaal;Buiten Nederland;Moeder geboren in Nederland;2023;22522.0
24;Totaal;Buiten Nederland;Moeder geboren buiten Nederland;2021;35633.0
25;Totaal;Buiten Nederland;Moeder geboren buiten Nederland;2022;34819.0
26;Totaal;Buiten Nederland;Moeder geboren buiten Nederland;2023;35007.0
27;Totaal;Europa (exclusief Nederland);Totaal moeders;2021;16317.0
28;Totaal;Europa (exclusief Nederland);Totaal moeders;2022;15289.0
29;Totaal;Europa (exclusief Nederland);Totaal moeders;2023;15467.0
30;Totaal;Europa (exclusief Nederland);Moeder geboren in Nederland;2021;3880.0
31;Totaal;Europa (exclusief Nederland);Moeder geboren in Nederland;2022;3612.0
32;Totaal;Europa (exclusief Nederland);Moeder geboren in Nederland;2023;3582.0
33;Totaal;Europa (exclusief Nederland);Moeder geboren buiten Nederland;2021;12437.0
34;Totaal;Europa (exclusief Nederland);Moeder geboren buiten Nederland;2022;11677.0
35;Totaal;Europa (exclusief Nederland);Moeder geboren buiten Nederland;2023;11885.0
36;Totaal;Buiten Europa;Totaal moeders;2021;43171.0
37;Totaal;Buiten Europa;Totaal moeders;2022;42284.0
38;Totaal;Buiten Europa;Totaal moeders;2023;42062.0
39;Totaal;Buiten Europa;Moeder geboren in Nederland;2021;19975.0
40;Totaal;Buiten Europa;Moeder geboren in Nederland;2022;19142.0
41;Totaal;Buiten Europa;Moeder geboren in Nederland;2023;18940.0
42;Totaal;Buiten Europa;Moeder geboren buiten Nederland;2021;23196.0
43;Totaal;Buiten Europa;Moeder geboren buiten Nederland;2022;23142.0
44;Totaal;Buiten Europa;Moeder geboren buiten Nederland;2023;23122.0
45;Totaal;Indonesië;Totaal moeders;2021;2568.0
46;Totaal;Indonesië;Totaal moeders;2022;2255.0
47;Totaal;Indonesië;Totaal moeders;2023;1979.0
48;Totaal;Indonesië;Moeder geboren in Nederland;2021;2202.0
49;Totaal;Indonesië;Moeder geboren in Nederland;2022;1875.0
50;Totaal;Indonesië;Moeder geboren in Nederland;2023;1675.0
51;Totaal;Indonesië;Moeder geboren buiten Nederland;2021;366.0
52;Totaal;Indonesië;Moeder geboren buiten Nederland;2022;380.0
53;Totaal;Indonesië;Moeder geboren buiten Nederland;2023;304.0
54;Totaal;Marokko;Totaal moeders;2021;7398.0
55;Totaal;Marokko;Totaal moeders;2022;7331.0
56;Totaal;Marokko;Totaal moeders;2023;7018.0
57;Totaal;Marokko;Moeder geboren in Nederland;2021;4809.0
58;Totaal;Marokko;Moeder geboren in Nederland;2022;4835.0
59;Totaal;Marokko;Moeder geboren in Nederland;2023;4805.0
60;Totaal;Marokko;Moeder geboren buiten Nederland;2021;2589.0
61;Totaal;Marokko;Moeder geboren buiten Nederland;2022;2496.0
62;Totaal;Marokko;Moeder geboren buiten Nederland;2023;2213.0
63;Totaal;Nederlandse Cariben;Totaal moeders;2021;2549.0
64;Totaal;Nederlandse Cariben;Totaal moeders;2022;2466.0
65;Totaal;Nederlandse Cariben;Totaal moeders;2023;2541.0
66;Totaal;Nederlandse Cariben;Moeder geboren in Nederland;2021;1254.0
67;Totaal;Nederlandse Cariben;Moeder geboren in Nederland;2022;1170.0
68;Totaal;Nederlandse Cariben;Moeder geboren in Nederland;2023;1199.0
69;Totaal;Nederlandse Cariben;Moeder geboren buiten Nederland;2021;1295.0
70;Totaal;Nederlandse Cariben;Moeder geboren buiten Nederland;2022;1296.0
71;Totaal;Nederlandse Cariben;Moeder geboren buiten Nederland;2023;1342.0
72;Totaal;Suriname;Totaal moeders;2021;4428.0
73;Totaal;Suriname;Totaal moeders;2022;4250.0
74;Totaal;Suriname;Totaal moeders;2023;4093.0
75;Totaal;Suriname;Moeder geboren in Nederland;2021;3367.0
76;Totaal;Suriname;Moeder geboren in Nederland;2022;3241.0
77;Totaal;Suriname;Moeder geboren in Nederland;2023;3191.0
78;Totaal;Suriname;Moeder geboren buiten Nederland;2021;1061.0
79;Totaal;Suriname;Moeder geboren buiten Nederland;2022;1009.0
80;Totaal;Suriname;Moeder geboren buiten Nederland;2023;902.0
