ID;Zorgfinanciering;BatenVanFinancieringsvormenZorg;Zorgfuncties;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;1998;39379
1;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;1999;42394
2;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2000;45362
3;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2001;50768
4;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2002;56663
5;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2003;60889
6;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2004;63003
7;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2005;65424
8;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2006;68495
9;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2007;72713
10;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2008;77705
11;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2009;82298
12;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2010;85790
13;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2011;88125
14;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2012;90621
15;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2013;90954
16;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2014;91926
17;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2015;92323
18;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2016;94842
19;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2017;96972
20;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2018;101031
21;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2019;107429
22;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2020;116384
23;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2021;124794
