ID;BedrijfstakkenBranchesSBI2008;Bedrijfsomvang;Perioden;BedrijvenMetOmzetstijging_1;BedrijvenMetOmzetdaling_2;BedrijvenMetOmzetStabiel_3;BedrijvenMetSnelleOmzetstijging_4;BedrijvenMetSnelleOmzetdaling_5
0;B Delfstoffenwinning;1 werkzame persoon;2004 1e kwartaal;;;;;
1;B Delfstoffenwinning;1 werkzame persoon;2004 2e kwartaal;;;;;
2;B Delfstoffenwinning;1 werkzame persoon;2004 3e kwartaal;;;;;
3;B Delfstoffenwinning;1 werkzame persoon;2004 4e kwartaal;;;;;
4;B Delfstoffenwinning;1 werkzame persoon;2005 1e kwartaal;;;;;
5;B Delfstoffenwinning;1 werkzame persoon;2005 2e kwartaal;;;;;
6;B Delfstoffenwinning;1 werkzame persoon;2005 3e kwartaal;;;;;
7;B Delfstoffenwinning;1 werkzame persoon;2005 4e kwartaal;;;;;
8;B Delfstoffenwinning;1 werkzame persoon;2006 1e kwartaal;;;;;
9;B Delfstoffenwinning;1 werkzame persoon;2006 2e kwartaal;;;;;
10;B Delfstoffenwinning;1 werkzame persoon;2006 3e kwartaal;;;;;
11;B Delfstoffenwinning;1 werkzame persoon;2006 4e kwartaal;;;;;
12;B Delfstoffenwinning;1 werkzame persoon;2007 1e kwartaal;;;;;
13;B Delfstoffenwinning;1 werkzame persoon;2007 2e kwartaal;;;;;
14;B Delfstoffenwinning;1 werkzame persoon;2007 3e kwartaal;;;;;
15;B Delfstoffenwinning;1 werkzame persoon;2007 4e kwartaal;;;;;
16;B Delfstoffenwinning;1 werkzame persoon;2008 1e kwartaal;;;;;
17;B Delfstoffenwinning;1 werkzame persoon;2008 2e kwartaal;;;;;
18;B Delfstoffenwinning;1 werkzame persoon;2008 3e kwartaal;;;;;
19;B Delfstoffenwinning;1 werkzame persoon;2008 4e kwartaal;;;;;
20;B Delfstoffenwinning;1 werkzame persoon;2009 1e kwartaal;;;;;
21;B Delfstoffenwinning;1 werkzame persoon;2009 2e kwartaal;;;;;
22;B Delfstoffenwinning;1 werkzame persoon;2009 3e kwartaal;;;;;
23;B Delfstoffenwinning;1 werkzame persoon;2009 4e kwartaal;;;;;
24;B Delfstoffenwinning;1 werkzame persoon;2010 1e kwartaal;;;;;
25;B Delfstoffenwinning;1 werkzame persoon;2010 2e kwartaal;;;;;
26;B Delfstoffenwinning;1 werkzame persoon;2010 3e kwartaal;;;;;
27;B Delfstoffenwinning;1 werkzame persoon;2010 4e kwartaal;;;;;
28;B Delfstoffenwinning;1 werkzame persoon;2011 1e kwartaal;;;;;
29;B Delfstoffenwinning;1 werkzame persoon;2011 2e kwartaal;;;;;
30;B Delfstoffenwinning;1 werkzame persoon;2011 3e kwartaal;;;;;
31;B Delfstoffenwinning;1 werkzame persoon;2011 4e kwartaal;;;;;
32;B Delfstoffenwinning;1 werkzame persoon;2012 1e kwartaal;;;;;
33;B Delfstoffenwinning;1 werkzame persoon;2012 2e kwartaal;;;;;
34;B Delfstoffenwinning;1 werkzame persoon;2012 3e kwartaal;;;;;
35;B Delfstoffenwinning;1 werkzame persoon;2012 4e kwartaal;;;;;
36;B Delfstoffenwinning;2 tot 10 werkzame personen;2004 1e kwartaal;;;;;
37;B Delfstoffenwinning;2 tot 10 werkzame personen;2004 2e kwartaal;;;;;
38;B Delfstoffenwinning;2 tot 10 werkzame personen;2004 3e kwartaal;;;;;
39;B Delfstoffenwinning;2 tot 10 werkzame personen;2004 4e kwartaal;;;;;
40;B Delfstoffenwinning;2 tot 10 werkzame personen;2005 1e kwartaal;;;;;
41;B Delfstoffenwinning;2 tot 10 werkzame personen;2005 2e kwartaal;;;;;
42;B Delfstoffenwinning;2 tot 10 werkzame personen;2005 3e kwartaal;;;;;
43;B Delfstoffenwinning;2 tot 10 werkzame personen;2005 4e kwartaal;;;;;
44;B Delfstoffenwinning;2 tot 10 werkzame personen;2006 1e kwartaal;;;;;
45;B Delfstoffenwinning;2 tot 10 werkzame personen;2006 2e kwartaal;;;;;
46;B Delfstoffenwinning;2 tot 10 werkzame personen;2006 3e kwartaal;;;;;
47;B Delfstoffenwinning;2 tot 10 werkzame personen;2006 4e kwartaal;;;;;
48;B Delfstoffenwinning;2 tot 10 werkzame personen;2007 1e kwartaal;;;;;
49;B Delfstoffenwinning;2 tot 10 werkzame personen;2007 2e kwartaal;;;;;
50;B Delfstoffenwinning;2 tot 10 werkzame personen;2007 3e kwartaal;;;;;
51;B Delfstoffenwinning;2 tot 10 werkzame personen;2007 4e kwartaal;;;;;
52;B Delfstoffenwinning;2 tot 10 werkzame personen;2008 1e kwartaal;;;;;
53;B Delfstoffenwinning;2 tot 10 werkzame personen;2008 2e kwartaal;;;;;
54;B Delfstoffenwinning;2 tot 10 werkzame personen;2008 3e kwartaal;;;;;
55;B Delfstoffenwinning;2 tot 10 werkzame personen;2008 4e kwartaal;;;;;
56;B Delfstoffenwinning;2 tot 10 werkzame personen;2009 1e kwartaal;;;;;
57;B Delfstoffenwinning;2 tot 10 werkzame personen;2009 2e kwartaal;;;;;
58;B Delfstoffenwinning;2 tot 10 werkzame personen;2009 3e kwartaal;;;;;
59;B Delfstoffenwinning;2 tot 10 werkzame personen;2009 4e kwartaal;;;;;
60;B Delfstoffenwinning;2 tot 10 werkzame personen;2010 1e kwartaal;;;;;
61;B Delfstoffenwinning;2 tot 10 werkzame personen;2010 2e kwartaal;;;;;
62;B Delfstoffenwinning;2 tot 10 werkzame personen;2010 3e kwartaal;;;;;
63;B Delfstoffenwinning;2 tot 10 werkzame personen;2010 4e kwartaal;;;;;
64;B Delfstoffenwinning;2 tot 10 werkzame personen;2011 1e kwartaal;;;;;
65;B Delfstoffenwinning;2 tot 10 werkzame personen;2011 2e kwartaal;;;;;
66;B Delfstoffenwinning;2 tot 10 werkzame personen;2011 3e kwartaal;;;;;
67;B Delfstoffenwinning;2 tot 10 werkzame personen;2011 4e kwartaal;;;;;
68;B Delfstoffenwinning;2 tot 10 werkzame personen;2012 1e kwartaal;;;;;
69;B Delfstoffenwinning;2 tot 10 werkzame personen;2012 2e kwartaal;;;;;
70;B Delfstoffenwinning;2 tot 10 werkzame personen;2012 3e kwartaal;;;;;
71;B Delfstoffenwinning;2 tot 10 werkzame personen;2012 4e kwartaal;;;;;
72;B Delfstoffenwinning;10 tot 50 werkzame personen;2004 1e kwartaal;;;;;
73;B Delfstoffenwinning;10 tot 50 werkzame personen;2004 2e kwartaal;;;;;
74;B Delfstoffenwinning;10 tot 50 werkzame personen;2004 3e kwartaal;;;;;
75;B Delfstoffenwinning;10 tot 50 werkzame personen;2004 4e kwartaal;;;;;
76;B Delfstoffenwinning;10 tot 50 werkzame personen;2005 1e kwartaal;;;;;
77;B Delfstoffenwinning;10 tot 50 werkzame personen;2005 2e kwartaal;;;;;
78;B Delfstoffenwinning;10 tot 50 werkzame personen;2005 3e kwartaal;;;;;
79;B Delfstoffenwinning;10 tot 50 werkzame personen;2005 4e kwartaal;;;;;
80;B Delfstoffenwinning;10 tot 50 werkzame personen;2006 1e kwartaal;;;;;
81;B Delfstoffenwinning;10 tot 50 werkzame personen;2006 2e kwartaal;;;;;
82;B Delfstoffenwinning;10 tot 50 werkzame personen;2006 3e kwartaal;;;;;
83;B Delfstoffenwinning;10 tot 50 werkzame personen;2006 4e kwartaal;;;;;
84;B Delfstoffenwinning;10 tot 50 werkzame personen;2007 1e kwartaal;;;;;
85;B Delfstoffenwinning;10 tot 50 werkzame personen;2007 2e kwartaal;;;;;
86;B Delfstoffenwinning;10 tot 50 werkzame personen;2007 3e kwartaal;;;;;
87;B Delfstoffenwinning;10 tot 50 werkzame personen;2007 4e kwartaal;;;;;
88;B Delfstoffenwinning;10 tot 50 werkzame personen;2008 1e kwartaal;;;;;
89;B Delfstoffenwinning;10 tot 50 werkzame personen;2008 2e kwartaal;;;;;
90;B Delfstoffenwinning;10 tot 50 werkzame personen;2008 3e kwartaal;;;;;
91;B Delfstoffenwinning;10 tot 50 werkzame personen;2008 4e kwartaal;;;;;
92;B Delfstoffenwinning;10 tot 50 werkzame personen;2009 1e kwartaal;;;;;
93;B Delfstoffenwinning;10 tot 50 werkzame personen;2009 2e kwartaal;;;;;
94;B Delfstoffenwinning;10 tot 50 werkzame personen;2009 3e kwartaal;;;;;
95;B Delfstoffenwinning;10 tot 50 werkzame personen;2009 4e kwartaal;;;;;
96;B Delfstoffenwinning;10 tot 50 werkzame personen;2010 1e kwartaal;;;;;
97;B Delfstoffenwinning;10 tot 50 werkzame personen;2010 2e kwartaal;;;;;
98;B Delfstoffenwinning;10 tot 50 werkzame personen;2010 3e kwartaal;;;;;
99;B Delfstoffenwinning;10 tot 50 werkzame personen;2010 4e kwartaal;;;;;
100;B Delfstoffenwinning;10 tot 50 werkzame personen;2011 1e kwartaal;;;;;
101;B Delfstoffenwinning;10 tot 50 werkzame personen;2011 2e kwartaal;;;;;
102;B Delfstoffenwinning;10 tot 50 werkzame personen;2011 3e kwartaal;;;;;
103;B Delfstoffenwinning;10 tot 50 werkzame personen;2011 4e kwartaal;;;;;
104;B Delfstoffenwinning;10 tot 50 werkzame personen;2012 1e kwartaal;;;;;
105;B Delfstoffenwinning;10 tot 50 werkzame personen;2012 2e kwartaal;;;;;
106;B Delfstoffenwinning;10 tot 50 werkzame personen;2012 3e kwartaal;;;;;
107;B Delfstoffenwinning;10 tot 50 werkzame personen;2012 4e kwartaal;;;;;
108;B Delfstoffenwinning;50 tot 100 werkzame personen;2004 1e kwartaal;;;;;
109;B Delfstoffenwinning;50 tot 100 werkzame personen;2004 2e kwartaal;;;;;
110;B Delfstoffenwinning;50 tot 100 werkzame personen;2004 3e kwartaal;;;;;
111;B Delfstoffenwinning;50 tot 100 werkzame personen;2004 4e kwartaal;;;;;
112;B Delfstoffenwinning;50 tot 100 werkzame personen;2005 1e kwartaal;;;;;
113;B Delfstoffenwinning;50 tot 100 werkzame personen;2005 2e kwartaal;;;;;
114;B Delfstoffenwinning;50 tot 100 werkzame personen;2005 3e kwartaal;;;;;
115;B Delfstoffenwinning;50 tot 100 werkzame personen;2005 4e kwartaal;;;;;
116;B Delfstoffenwinning;50 tot 100 werkzame personen;2006 1e kwartaal;;;;;
117;B Delfstoffenwinning;50 tot 100 werkzame personen;2006 2e kwartaal;;;;;
118;B Delfstoffenwinning;50 tot 100 werkzame personen;2006 3e kwartaal;;;;;
119;B Delfstoffenwinning;50 tot 100 werkzame personen;2006 4e kwartaal;;;;;
120;B Delfstoffenwinning;50 tot 100 werkzame personen;2007 1e kwartaal;;;;;
121;B Delfstoffenwinning;50 tot 100 werkzame personen;2007 2e kwartaal;;;;;
122;B Delfstoffenwinning;50 tot 100 werkzame personen;2007 3e kwartaal;;;;;
123;B Delfstoffenwinning;50 tot 100 werkzame personen;2007 4e kwartaal;;;;;
124;B Delfstoffenwinning;50 tot 100 werkzame personen;2008 1e kwartaal;;;;;
125;B Delfstoffenwinning;50 tot 100 werkzame personen;2008 2e kwartaal;;;;;
126;B Delfstoffenwinning;50 tot 100 werkzame personen;2008 3e kwartaal;;;;;
127;B Delfstoffenwinning;50 tot 100 werkzame personen;2008 4e kwartaal;;;;;
128;B Delfstoffenwinning;50 tot 100 werkzame personen;2009 1e kwartaal;;;;;
129;B Delfstoffenwinning;50 tot 100 werkzame personen;2009 2e kwartaal;;;;;
130;B Delfstoffenwinning;50 tot 100 werkzame personen;2009 3e kwartaal;;;;;
131;B Delfstoffenwinning;50 tot 100 werkzame personen;2009 4e kwartaal;;;;;
132;B Delfstoffenwinning;50 tot 100 werkzame personen;2010 1e kwartaal;;;;;
133;B Delfstoffenwinning;50 tot 100 werkzame personen;2010 2e kwartaal;;;;;
134;B Delfstoffenwinning;50 tot 100 werkzame personen;2010 3e kwartaal;;;;;
135;B Delfstoffenwinning;50 tot 100 werkzame personen;2010 4e kwartaal;;;;;
136;B Delfstoffenwinning;50 tot 100 werkzame personen;2011 1e kwartaal;;;;;
137;B Delfstoffenwinning;50 tot 100 werkzame personen;2011 2e kwartaal;;;;;
138;B Delfstoffenwinning;50 tot 100 werkzame personen;2011 3e kwartaal;;;;;
139;B Delfstoffenwinning;50 tot 100 werkzame personen;2011 4e kwartaal;;;;;
140;B Delfstoffenwinning;50 tot 100 werkzame personen;2012 1e kwartaal;;;;;
141;B Delfstoffenwinning;50 tot 100 werkzame personen;2012 2e kwartaal;;;;;
142;B Delfstoffenwinning;50 tot 100 werkzame personen;2012 3e kwartaal;;;;;
143;B Delfstoffenwinning;50 tot 100 werkzame personen;2012 4e kwartaal;;;;;
144;B Delfstoffenwinning;100 tot 250 werkzame personen;2004 1e kwartaal;;;;;
145;B Delfstoffenwinning;100 tot 250 werkzame personen;2004 2e kwartaal;;;;;
146;B Delfstoffenwinning;100 tot 250 werkzame personen;2004 3e kwartaal;;;;;
147;B Delfstoffenwinning;100 tot 250 werkzame personen;2004 4e kwartaal;;;;;
148;B Delfstoffenwinning;100 tot 250 werkzame personen;2005 1e kwartaal;;;;;
149;B Delfstoffenwinning;100 tot 250 werkzame personen;2005 2e kwartaal;;;;;
150;B Delfstoffenwinning;100 tot 250 werkzame personen;2005 3e kwartaal;;;;;
151;B Delfstoffenwinning;100 tot 250 werkzame personen;2005 4e kwartaal;;;;;
152;B Delfstoffenwinning;100 tot 250 werkzame personen;2006 1e kwartaal;;;;;
153;B Delfstoffenwinning;100 tot 250 werkzame personen;2006 2e kwartaal;;;;;
154;B Delfstoffenwinning;100 tot 250 werkzame personen;2006 3e kwartaal;;;;;
155;B Delfstoffenwinning;100 tot 250 werkzame personen;2006 4e kwartaal;;;;;
156;B Delfstoffenwinning;100 tot 250 werkzame personen;2007 1e kwartaal;;;;;
157;B Delfstoffenwinning;100 tot 250 werkzame personen;2007 2e kwartaal;;;;;
158;B Delfstoffenwinning;100 tot 250 werkzame personen;2007 3e kwartaal;;;;;
159;B Delfstoffenwinning;100 tot 250 werkzame personen;2007 4e kwartaal;;;;;
160;B Delfstoffenwinning;100 tot 250 werkzame personen;2008 1e kwartaal;;;;;
161;B Delfstoffenwinning;100 tot 250 werkzame personen;2008 2e kwartaal;;;;;
162;B Delfstoffenwinning;100 tot 250 werkzame personen;2008 3e kwartaal;;;;;
163;B Delfstoffenwinning;100 tot 250 werkzame personen;2008 4e kwartaal;;;;;
164;B Delfstoffenwinning;100 tot 250 werkzame personen;2009 1e kwartaal;;;;;
165;B Delfstoffenwinning;100 tot 250 werkzame personen;2009 2e kwartaal;;;;;
166;B Delfstoffenwinning;100 tot 250 werkzame personen;2009 3e kwartaal;;;;;
167;B Delfstoffenwinning;100 tot 250 werkzame personen;2009 4e kwartaal;;;;;
168;B Delfstoffenwinning;100 tot 250 werkzame personen;2010 1e kwartaal;;;;;
169;B Delfstoffenwinning;100 tot 250 werkzame personen;2010 2e kwartaal;;;;;
170;B Delfstoffenwinning;100 tot 250 werkzame personen;2010 3e kwartaal;;;;;
171;B Delfstoffenwinning;100 tot 250 werkzame personen;2010 4e kwartaal;;;;;
172;B Delfstoffenwinning;100 tot 250 werkzame personen;2011 1e kwartaal;;;;;
173;B Delfstoffenwinning;100 tot 250 werkzame personen;2011 2e kwartaal;;;;;
174;B Delfstoffenwinning;100 tot 250 werkzame personen;2011 3e kwartaal;;;;;
175;B Delfstoffenwinning;100 tot 250 werkzame personen;2011 4e kwartaal;;;;;
176;B Delfstoffenwinning;100 tot 250 werkzame personen;2012 1e kwartaal;;;;;
177;B Delfstoffenwinning;100 tot 250 werkzame personen;2012 2e kwartaal;;;;;
178;B Delfstoffenwinning;100 tot 250 werkzame personen;2012 3e kwartaal;;;;;
179;B Delfstoffenwinning;100 tot 250 werkzame personen;2012 4e kwartaal;;;;;
180;B Delfstoffenwinning;250 of meer werkzame personen;2004 1e kwartaal;;;;;
