ID;Landen;Perioden;TotaalAsielverzoeken_1;EersteAsielverzoeken_2
0;Europese Unie;2008;;
1;Europese Unie;2009;232.3;164.9
2;Europese Unie;2010;235.3;184.3
3;Europese Unie;2011;282.1;237.3
4;Europese Unie;2012;306.5;250.4
5;Europese Unie;2013;400.5;338.2
6;Europese Unie;2014;594.2;530.6
7;Europese Unie;2015;1282.7;1216.9
8;Europese Unie;2016;1221.2;1166.8
9;Europese Unie;2017;677.5;620.3
10;Europese Unie;2018;625.6;564.1
11;Europese Unie;2019;698.8;631.3
12;Europese Unie;2020;472.4;417.1
13;Europese Unie;2021;632.4;537.4
14;Europese Unie;2022;960.7;873.7
15;Europese Unie;2023;1129.8;1049.0
16;Europese Unie: EU-28 (2013-2020);2008;225.1;
17;Europese Unie: EU-28 (2013-2020);2009;263.9;195.6
18;Europese Unie: EU-28 (2013-2020);2010;259.6;206.9
19;Europese Unie: EU-28 (2013-2020);2011;309.0;263.1
20;Europese Unie: EU-28 (2013-2020);2012;335.3;278.3
21;Europese Unie: EU-28 (2013-2020);2013;431.1;367.8
22;Europese Unie: EU-28 (2013-2020);2014;627.0;562.7
23;Europese Unie: EU-28 (2013-2020);2015;1322.8;1256.6
24;Europese Unie: EU-28 (2013-2020);2016;1260.9;1206.1
25;Europese Unie: EU-28 (2013-2020);2017;712.2;654.6
26;Europese Unie: EU-28 (2013-2020);2018;664.4;602.5
27;Europese Unie: EU-28 (2013-2020);2019;744.8;675.5
28;Europese Unie: EU-28 (2013-2020);2020;;
29;Europese Unie: EU-28 (2013-2020);2021;;
30;Europese Unie: EU-28 (2013-2020);2022;;
31;Europese Unie: EU-28 (2013-2020);2023;;
32;België;2008;15.2;11.1
33;België;2009;21.6;16.6
34;België;2010;26.1;21.6
35;België;2011;31.9;25.4
36;België;2012;28.1;18.3
37;België;2013;21.0;12.0
38;België;2014;22.7;14.0
39;België;2015;44.7;39.0
40;België;2016;18.3;14.2
41;België;2017;18.3;14.0
42;België;2018;22.5;18.1
43;België;2019;27.5;23.1
44;België;2020;16.7;12.9
45;België;2021;25.0;19.5
46;België;2022;36.7;32.1
47;België;2023;35.2;29.3
48;Bulgarije;2008;0.7;0.6
49;Bulgarije;2009;0.9;
50;Bulgarije;2010;1.0;
51;Bulgarije;2011;0.9;0.7
52;Bulgarije;2012;1.4;1.2
53;Bulgarije;2013;7.1;7.0
54;Bulgarije;2014;11.1;10.8
55;Bulgarije;2015;20.4;20.2
56;Bulgarije;2016;19.4;19.0
57;Bulgarije;2017;3.7;3.5
58;Bulgarije;2018;2.5;2.5
59;Bulgarije;2019;2.1;2.1
60;Bulgarije;2020;3.5;3.5
61;Bulgarije;2021;11.0;10.9
62;Bulgarije;2022;20.4;20.3
63;Bulgarije;2023;22.5;22.4
64;Cyprus;2008;3.9;3.9
65;Cyprus;2009;3.2;3.2
66;Cyprus;2010;2.9;2.8
67;Cyprus;2011;1.8;1.7
68;Cyprus;2012;1.6;1.6
69;Cyprus;2013;1.3;1.1
70;Cyprus;2014;1.7;1.5
71;Cyprus;2015;2.3;2.1
72;Cyprus;2016;2.9;2.8
73;Cyprus;2017;4.6;4.5
74;Cyprus;2018;7.8;7.6
75;Cyprus;2019;13.7;12.7
76;Cyprus;2020;7.5;7.1
77;Cyprus;2021;13.7;13.3
78;Cyprus;2022;22.2;21.6
79;Cyprus;2023;11.9;11.7
80;Denemarken;2008;2.4;2.4
81;Denemarken;2009;3.7;3.7
82;Denemarken;2010;5.1;5.1
83;Denemarken;2011;3.9;3.9
84;Denemarken;2012;6.0;6.0
85;Denemarken;2013;7.2;7.2
86;Denemarken;2014;14.7;14.5
87;Denemarken;2015;20.9;20.8
88;Denemarken;2016;6.2;6.1
89;Denemarken;2017;3.2;3.1
90;Denemarken;2018;3.6;3.5
91;Denemarken;2019;2.7;2.6
92;Denemarken;2020;1.5;1.4
93;Denemarken;2021;2.1;2.0
94;Denemarken;2022;4.6;4.5
95;Denemarken;2023;2.5;2.4
96;Duitsland;2008;26.8;21.3
97;Duitsland;2009;32.9;27.6
98;Duitsland;2010;48.5;41.2
99;Duitsland;2011;53.2;45.7
100;Duitsland;2012;77.5;64.4
101;Duitsland;2013;126.7;109.4
102;Duitsland;2014;202.6;172.9
103;Duitsland;2015;476.5;441.8
